Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2019,08,15,SK,Košice,pm25,86,5.0,102.0,30.0,2407.8
2019,09,09,SK,Košice,pm25,90,5.0,95.0,42.0,2844.09
2019,09,19,SK,Košice,pm25,91,5.0,61.0,25.0,1635.5
2019,07,11,SK,Košice,pm25,91,5.0,53.0,21.0,959.47
2019,08,14,SK,Košice,pm25,63,5.0,53.0,30.0,1811.39
2019,07,26,SK,Košice,pm25,95,17.0,153.0,46.0,3814.18
2019,07,29,SK,Košice,pm25,90,5.0,80.0,42.0,4480.94
2019,08,13,SK,Košice,pm25,85,9.0,104.0,55.0,4534.74
2019,09,17,SK,Košice,pm25,91,5.0,59.0,30.0,2413.77
2019,09,26,SK,Košice,pm25,93,13.0,97.0,70.0,5552.45
2019,07,03,SK,Košice,pm25,88,9.0,78.0,50.0,2358.92
2019,07,16,SK,Košice,pm25,86,13.0,87.0,42.0,1797.48
2019,08,24,SK,Košice,pm25,96,30.0,99.0,53.0,1157.46
2019,09,18,SK,Košice,pm25,83,5.0,50.0,21.0,1477.49
2019,07,05,SK,Košice,pm25,94,5.0,72.0,50.0,2468.36
2019,08,04,SK,Košice,pm25,93,9.0,68.0,34.0,1360.11
2019,07,12,SK,Košice,pm25,96,17.0,70.0,38.0,1371.36
2019,08,21,SK,Košice,pm25,82,13.0,117.0,53.0,4407.02
2019,09,07,SK,Košice,pm25,93,5.0,137.0,42.0,4481.57
2019,09,21,SK,Košice,pm25,92,9.0,161.0,34.0,5523.6
2019,09,29,SK,Košice,pm25,81,5.0,87.0,25.0,3900.37
2019,07,02,SK,Košice,pm25,94,13.0,102.0,59.0,2843.38
2019,07,07,SK,Košice,pm25,92,5.0,99.0,57.0,3145.25
2019,08,07,SK,Košice,pm25,96,13.0,102.0,55.0,4558.25
2019,08,08,SK,Košice,pm25,90,9.0,174.0,38.0,4325.29
2019,08,23,SK,Košice,pm25,95,13.0,80.0,38.0,2574.55
2019,08,27,SK,Košice,pm25,96,30.0,99.0,55.0,1658.31
2019,08,30,SK,Košice,pm25,94,13.0,91.0,59.0,1524.5
2019,09,01,SK,Košice,pm25,92,34.0,114.0,59.0,1136.42
2019,07,14,SK,Košice,pm25,96,5.0,68.0,30.0,1545.89
2019,08,02,SK,Košice,pm25,94,9.0,76.0,50.0,1858.28
2019,09,03,SK,Košice,pm25,72,5.0,117.0,17.0,4889.39
2019,10,05,SK,Košice,pm25,96,9.0,114.0,46.0,3493.47
2019,08,22,SK,Košice,pm25,93,5.0,70.0,25.0,2518.96
2019,08,26,SK,Košice,pm25,96,17.0,72.0,46.0,1208.0
2019,08,31,SK,Košice,pm25,96,30.0,109.0,57.0,1373.89
2019,09,10,SK,Košice,pm25,82,5.0,55.0,21.0,970.91
2019,07,13,SK,Košice,pm25,96,17.0,61.0,38.0,1315.64
2019,08,11,SK,Košice,pm25,87,5.0,97.0,42.0,3398.72
2019,08,19,SK,Košice,pm25,96,9.0,132.0,55.0,6904.7
2019,09,23,SK,Košice,pm25,96,9.0,107.0,53.0,3660.7
2019,08,01,SK,Košice,pm25,95,5.0,87.0,53.0,3331.68
2019,09,02,SK,Košice,pm25,82,17.0,124.0,55.0,2687.1
2019,09,11,SK,Košice,pm25,88,5.0,70.0,30.0,2517.21
2019,09,24,SK,Košice,pm25,96,34.0,74.0,57.0,824.86
2019,07,23,SK,Košice,pm25,93,5.0,80.0,42.0,2900.29
2019,07,27,SK,Košice,pm25,95,5.0,61.0,42.0,1687.29
2019,07,17,SK,Košice,pm25,96,9.0,99.0,38.0,1895.86
2019,07,20,SK,Košice,pm25,96,13.0,68.0,53.0,1316.47
2019,07,21,SK,Košice,pm25,89,5.0,89.0,55.0,2784.07
2019,08,10,SK,Košice,pm25,93,13.0,93.0,55.0,2811.44
2019,08,16,SK,Košice,pm25,96,9.0,97.0,38.0,3430.11
2019,08,17,SK,Košice,pm25,96,13.0,70.0,42.0,1777.55
2019,07,06,SK,Košice,pm25,92,5.0,70.0,42.0,2080.02
2019,07,10,SK,Košice,pm25,94,5.0,59.0,30.0,1257.56
2019,10,01,SK,Košice,pm25,45,9.0,102.0,30.0,3281.34
2019,10,04,SK,Košice,pm25,89,5.0,137.0,30.0,3956.64
2019,09,04,SK,Košice,pm25,84,5.0,72.0,25.0,2210.84
2019,09,25,SK,Košice,pm25,96,17.0,91.0,63.0,1947.89
2019,08,06,SK,Košice,pm25,87,5.0,93.0,42.0,2937.26
2019,09,13,SK,Košice,pm25,96,5.0,117.0,46.0,3211.1
2019,09,27,SK,Košice,pm25,87,5.0,70.0,30.0,2075.81
2019,09,28,SK,Košice,pm25,90,5.0,63.0,38.0,2017.28
2019,10,02,SK,Košice,pm25,96,13.0,95.0,53.0,3228.21
2019,10,06,SK,Košice,pm25,81,5.0,72.0,30.0,3126.81
2019,07,25,SK,Košice,pm25,95,9.0,76.0,50.0,1970.23
