Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,2,15,CN,Wuhan,pm25,381,5.0,163.0,53.0,15154.6
2020,2,9,CN,Wuhan,pm25,384,53.0,179.0,89.0,2745.37
2020,2,16,CN,Wuhan,pm25,381,5.0,82.0,50.0,2926.09
2020,2,23,CN,Wuhan,pm25,384,53.0,272.0,95.0,4171.63
2020,2,6,CN,Wuhan,pm25,383,9.0,199.0,82.0,28571.4
2020,2,20,CN,Wuhan,pm25,384,38.0,175.0,102.0,11243.0
2020,2,5,CN,Wuhan,pm25,384,99.0,232.0,163.0,4911.6
2020,2,18,CN,Wuhan,pm25,379,9.0,129.0,65.0,2300.07
2020,2,27,CN,Wuhan,pm25,383,21.0,158.0,89.0,7807.22
2020,2,11,CN,Wuhan,pm25,383,25.0,159.0,80.0,7224.8
2020,2,17,CN,Wuhan,pm25,381,5.0,93.0,55.0,2252.52
2020,2,24,CN,Wuhan,pm25,380,70.0,154.0,107.0,2762.32
2020,2,10,CN,Wuhan,pm25,384,61.0,161.0,107.0,3938.54
2020,2,25,CN,Wuhan,pm25,366,91.0,177.0,157.0,3255.6
2020,2,28,CN,Wuhan,pm25,373,9.0,132.0,42.0,4682.75
2020,2,21,CN,Wuhan,pm25,382,55.0,168.0,112.0,8801.04
2020,2,19,CN,Wuhan,pm25,383,38.0,114.0,82.0,1408.41
2020,2,13,CN,Wuhan,pm25,380,30.0,158.0,70.0,3071.05
2020,2,26,CN,Wuhan,pm25,378,38.0,173.0,132.0,12394.5
2020,2,8,CN,Wuhan,pm25,382,38.0,107.0,72.0,1534.81
2020,2,1,CN,Wuhan,pm25,387,112.0,174.0,154.0,968.09
2020,2,3,CN,Wuhan,pm25,385,95.0,189.0,153.0,2822.25
2020,2,12,CN,Wuhan,pm25,383,42.0,132.0,78.0,2543.11
2020,2,7,CN,Wuhan,pm25,382,9.0,102.0,61.0,1734.48
2020,2,4,CN,Wuhan,pm25,384,95.0,179.0,153.0,3455.29
2020,2,22,CN,Wuhan,pm25,383,65.0,166.0,114.0,4430.47
2020,2,29,CN,Wuhan,pm25,381,9.0,154.0,53.0,3589.36
2020,2,2,CN,Wuhan,pm25,385,112.0,173.0,154.0,1296.82
2020,2,14,CN,Wuhan,pm25,372,34.0,153.0,68.0,7181.05
2020,3,28,CN,Wuhan,pm25,373,5.0,97.0,42.0,4531.04
2020,3,24,CN,Wuhan,pm25,387,65.0,158.0,104.0,4638.35
2020,3,14,CN,Wuhan,pm25,382,63.0,171.0,129.0,8591.95
2020,3,6,CN,Wuhan,pm25,386,65.0,154.0,112.0,3883.73
2020,3,7,CN,Wuhan,pm25,384,50.0,153.0,95.0,4178.52
2020,3,25,CN,Wuhan,pm25,371,13.0,154.0,95.0,8554.45
2020,3,30,CN,Wuhan,pm25,384,9.0,127.0,55.0,2555.05
2020,3,16,CN,Wuhan,pm25,387,30.0,157.0,117.0,3136.79
2020,3,4,CN,Wuhan,pm25,382,50.0,153.0,85.0,3520.24
