Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,2,27,US,Oklahoma City,pm25,95,10.0,58.0,20.0,995.81
2020,3,30,US,Oklahoma City,pm25,96,13.0,65.0,31.0,2749.25
2020,4,22,US,Oklahoma City,pm25,96,7.0,62.0,28.0,1728.42
2020,1,10,US,Oklahoma City,pm25,96,19.0,59.0,35.0,930.67
2020,1,13,US,Oklahoma City,pm25,96,34.0,69.0,52.0,484.26
2020,2,19,US,Oklahoma City,pm25,96,14.0,63.0,23.0,544.13
2020,4,25,US,Oklahoma City,pm25,96,14.0,91.0,35.0,2714.28
2020,4,28,US,Oklahoma City,pm25,94,17.0,57.0,42.0,822.2
2020,5,11,US,Oklahoma City,pm25,85,18.0,43.0,28.0,422.02
2020,5,20,US,Oklahoma City,pm25,96,20.0,50.0,28.0,386.37
2020,6,4,US,Oklahoma City,pm25,96,14.0,55.0,37.0,888.65
2020,2,20,US,Oklahoma City,pm25,96,16.0,66.0,35.0,1340.45
2020,4,6,US,Oklahoma City,pm25,96,35.0,115.0,53.0,1233.31
2020,4,24,US,Oklahoma City,pm25,93,14.0,52.0,31.0,580.11
2020,6,7,US,Oklahoma City,pm25,96,33.0,59.0,42.0,376.4
2020,6,14,US,Oklahoma City,pm25,96,36.0,54.0,45.0,185.16
2020,6,17,US,Oklahoma City,pm25,96,43.0,71.0,58.0,340.91
2020,1,31,US,Oklahoma City,pm25,96,5.0,77.0,26.0,3198.5
2020,5,4,US,Oklahoma City,pm25,96,23.0,70.0,48.0,987.21
2020,1,9,US,Oklahoma City,pm25,95,23.0,60.0,29.0,543.78
2020,1,19,US,Oklahoma City,pm25,96,6.0,60.0,20.0,1427.26
2020,1,27,US,Oklahoma City,pm25,95,16.0,91.0,41.0,3773.17
2020,5,22,US,Oklahoma City,pm25,95,14.0,80.0,47.0,3949.1
2020,4,14,US,Oklahoma City,pm25,96,25.0,70.0,38.0,1082.58
2020,4,17,US,Oklahoma City,pm25,96,6.0,93.0,44.0,2402.21
2020,4,23,US,Oklahoma City,pm25,96,18.0,51.0,26.0,380.98
2020,2,1,US,Oklahoma City,pm25,96,5.0,69.0,15.0,1869.33
2020,2,11,US,Oklahoma City,pm25,96,15.0,38.0,25.0,225.67
2020,3,16,US,Oklahoma City,pm25,96,6.0,63.0,25.0,1585.86
2020,4,1,US,Oklahoma City,pm25,96,15.0,41.0,25.0,318.53
2020,4,30,US,Oklahoma City,pm25,95,21.0,47.0,29.0,371.12
2020,5,15,US,Oklahoma City,pm25,96,7.0,53.0,33.0,2021.74
2020,6,2,US,Oklahoma City,pm25,96,33.0,68.0,53.0,688.83
2020,6,19,US,Oklahoma City,pm25,96,15.0,62.0,38.0,1538.81
2020,2,15,US,Oklahoma City,pm25,96,23.0,73.0,35.0,802.26
2020,3,19,US,Oklahoma City,pm25,95,6.0,50.0,18.0,1092.99
2020,3,25,US,Oklahoma City,pm25,96,14.0,77.0,23.0,1876.31
2020,3,31,US,Oklahoma City,pm25,96,13.0,45.0,22.0,420.74
2020,4,8,US,Oklahoma City,pm25,96,17.0,70.0,30.0,1595.42
2020,5,10,US,Oklahoma City,pm25,91,17.0,68.0,37.0,1430.8
2020,6,20,US,Oklahoma City,pm25,96,26.0,56.0,38.0,502.86
2020,2,29,US,Oklahoma City,pm25,96,16.0,52.0,30.0,736.73
2020,3,3,US,Oklahoma City,pm25,64,19.0,105.0,38.0,3392.98
2020,3,28,US,Oklahoma City,pm25,96,5.0,76.0,20.0,5065.26
2020,4,3,US,Oklahoma City,pm25,96,5.0,56.0,28.0,1282.31
2020,4,7,US,Oklahoma City,pm25,96,17.0,75.0,40.0,2117.4
2020,4,20,US,Oklahoma City,pm25,96,33.0,74.0,52.0,944.19
2020,5,28,US,Oklahoma City,pm25,96,15.0,55.0,26.0,669.62
2020,2,26,US,Oklahoma City,pm25,96,10.0,50.0,20.0,683.42
2020,3,24,US,Oklahoma City,pm25,95,6.0,83.0,32.0,2665.95
2020,4,2,US,Oklahoma City,pm25,96,22.0,55.0,39.0,584.1
2020,5,24,US,Oklahoma City,pm25,96,14.0,60.0,24.0,1266.53
2020,1,12,US,Oklahoma City,pm25,96,18.0,56.0,34.0,851.41
2020,3,22,US,Oklahoma City,pm25,96,11.0,61.0,21.0,1566.88
2020,3,27,US,Oklahoma City,pm25,95,51.0,78.0,66.0,500.82
2020,4,29,US,Oklahoma City,pm25,96,16.0,51.0,24.0,448.96
2020,5,2,US,Oklahoma City,pm25,95,23.0,55.0,32.0,426.48
2020,6,6,US,Oklahoma City,pm25,96,33.0,54.0,41.0,267.47
2020,3,7,US,Oklahoma City,pm25,96,24.0,155.0,56.0,14175.0
2020,3,9,US,Oklahoma City,pm25,72,15.0,49.0,24.0,381.02
2020,4,10,US,Oklahoma City,pm25,96,32.0,149.0,54.0,7791.42
2020,3,6,US,Oklahoma City,pm25,96,11.0,128.0,21.0,2712.31
2020,3,26,US,Oklahoma City,pm25,95,17.0,77.0,48.0,2496.11
2020,5,12,US,Oklahoma City,pm25,96,17.0,61.0,38.0,1130.91
2020,5,23,US,Oklahoma City,pm25,96,16.0,64.0,37.0,2803.13
