Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,4,15,BR,São José dos Campos,pm25,23,9.0,59.0,30.0,2693.28
2020,5,15,BR,São José dos Campos,pm25,21,5.0,30.0,13.0,676.33
2020,6,8,BR,São José dos Campos,pm25,24,13.0,76.0,50.0,1975.36
2020,6,21,BR,São José dos Campos,pm25,24,9.0,89.0,53.0,4430.27
2020,1,17,BR,São José dos Campos,pm25,23,5.0,46.0,21.0,1353.16
2020,1,24,BR,São José dos Campos,pm25,23,5.0,38.0,21.0,1100.4
2020,5,26,BR,São José dos Campos,pm25,23,5.0,99.0,50.0,8748.62
2020,1,2,BR,São José dos Campos,pm25,24,5.0,70.0,21.0,2600.0
2020,1,22,BR,São José dos Campos,pm25,24,9.0,76.0,25.0,3820.22
2020,2,13,BR,São José dos Campos,pm25,22,5.0,50.0,17.0,1972.99
2020,3,17,BR,São José dos Campos,pm25,21,5.0,70.0,25.0,3598.9
2020,5,1,BR,São José dos Campos,pm25,23,63.0,93.0,82.0,828.73
2020,7,27,BR,São José dos Campos,pm25,24,25.0,80.0,53.0,1935.49
2020,4,1,BR,São José dos Campos,pm25,22,5.0,59.0,25.0,2112.55
2020,5,6,BR,São José dos Campos,pm25,24,34.0,93.0,65.0,2414.33
2020,5,19,BR,São José dos Campos,pm25,24,17.0,78.0,50.0,2306.01
2020,5,22,BR,São José dos Campos,pm25,24,13.0,72.0,42.0,1920.27
2020,7,11,BR,São José dos Campos,pm25,24,34.0,91.0,63.0,1433.89
2020,8,2,BR,São José dos Campos,pm25,24,5.0,72.0,34.0,2590.14
2020,1,8,BR,São José dos Campos,pm25,24,5.0,65.0,30.0,2894.49
2020,1,18,BR,São José dos Campos,pm25,24,5.0,30.0,13.0,601.29
2020,3,27,BR,São José dos Campos,pm25,24,9.0,97.0,42.0,4995.0
2020,5,17,BR,São José dos Campos,pm25,24,13.0,82.0,50.0,3871.72
2020,6,24,BR,São José dos Campos,pm25,24,25.0,95.0,68.0,2591.01
2020,1,31,BR,São José dos Campos,pm25,24,5.0,50.0,21.0,1414.49
2020,3,28,BR,São José dos Campos,pm25,24,17.0,162.0,42.0,12798.1
2020,4,11,BR,São José dos Campos,pm25,24,9.0,61.0,25.0,1945.63
2020,7,1,BR,São José dos Campos,pm25,12,5.0,76.0,34.0,5494.24
2020,2,19,BR,São José dos Campos,pm25,23,5.0,63.0,42.0,2693.12
2020,3,30,BR,São José dos Campos,pm25,24,5.0,72.0,21.0,3675.36
2020,7,21,BR,São José dos Campos,pm25,24,25.0,85.0,57.0,2625.14
2020,7,12,BR,São José dos Campos,pm25,22,34.0,127.0,72.0,6354.46
2020,2,27,BR,São José dos Campos,pm25,23,5.0,34.0,13.0,573.56
2020,2,29,BR,São José dos Campos,pm25,24,5.0,72.0,13.0,3913.04
2020,3,22,BR,São José dos Campos,pm25,24,5.0,46.0,17.0,1582.16
2020,4,19,BR,São José dos Campos,pm25,23,5.0,61.0,17.0,2619.01
2020,5,29,BR,São José dos Campos,pm25,24,30.0,137.0,68.0,6791.3
