Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2015,1,4,CN,Beijing,pm25,450,80.0,494.0,255.0,65212.9
2015,1,12,CN,Beijing,pm25,449,91.0,326.0,181.0,8349.02
2015,2,17,CN,Beijing,pm25,336,13.0,197.0,68.0,10622.5
2015,6,11,CN,Beijing,pm25,416,13.0,209.0,57.0,30655.9
2015,6,13,CN,Beijing,pm25,446,13.0,140.0,42.0,5978.25
2015,7,2,CN,Beijing,pm25,427,13.0,217.0,35.0,3977.95
2015,7,4,CN,Beijing,pm25,442,13.0,159.0,80.0,9451.02
2015,4,30,CN,Beijing,pm25,426,149.0,255.0,177.0,3808.68
2015,5,2,CN,Beijing,pm25,442,56.0,282.0,120.0,6209.24
2015,5,9,CN,Beijing,pm25,413,25.0,202.0,104.0,12249.8
2015,6,12,CN,Beijing,pm25,411,13.0,153.0,30.0,6191.18
2015,2,5,CN,Beijing,pm25,456,13.0,223.0,76.0,21435.3
2015,3,10,CN,Beijing,pm25,451,13.0,207.0,103.0,23895.1
2015,4,12,CN,Beijing,pm25,451,13.0,169.0,52.0,3238.76
2015,4,16,CN,Beijing,pm25,428,13.0,435.0,73.0,30927.9
2015,5,15,CN,Beijing,pm25,455,17.0,441.0,76.0,11281.8
2015,5,27,CN,Beijing,pm25,420,13.0,256.0,167.0,4884.58
2014,12,30,CN,Beijing,pm25,427,13.0,384.0,90.0,37871.1
2015,1,13,CN,Beijing,pm25,455,134.0,466.0,208.0,21759.5
2015,4,10,CN,Beijing,pm25,453,115.0,320.0,242.0,24551.8
2015,4,15,CN,Beijing,pm25,433,94.0,427.0,180.0,18491.0
2015,6,24,CN,Beijing,pm25,450,85.0,251.0,179.0,4521.69
2015,3,13,CN,Beijing,pm25,451,27.0,233.0,157.0,26718.1
2015,4,22,CN,Beijing,pm25,446,13.0,241.0,122.0,12665.5
2015,5,29,CN,Beijing,pm25,423,13.0,197.0,154.0,17902.6
2015,6,6,CN,Beijing,pm25,405,13.0,167.0,82.0,12432.2
2015,1,29,CN,Beijing,pm25,445,13.0,258.0,165.0,44980.8
2015,2,22,CN,Beijing,pm25,456,25.0,258.0,102.0,17254.8
2015,2,26,CN,Beijing,pm25,455,13.0,192.0,53.0,4179.08
2015,4,2,CN,Beijing,pm25,455,26.0,168.0,115.0,8646.02
2015,4,3,CN,Beijing,pm25,454,13.0,171.0,74.0,16400.4
2015,5,10,CN,Beijing,pm25,448,61.0,450.0,104.0,7361.5
2015,6,14,CN,Beijing,pm25,451,23.0,175.0,68.0,6032.32
2015,4,19,CN,Beijing,pm25,416,13.0,511.0,155.0,23895.0
2015,1,21,CN,Beijing,pm25,447,13.0,322.0,53.0,15227.0
2015,2,8,CN,Beijing,pm25,454,13.0,187.0,52.0,26066.2
