Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,1,5,CN,Beijing,pm25,476,76.0,189.0,154.0,1193.91
2020,1,16,CN,Beijing,pm25,454,13.0,370.0,99.0,48076.9
2020,2,20,CN,Beijing,pm25,454,157.0,194.0,179.0,406.78
2020,2,23,CN,Beijing,pm25,451,34.0,176.0,112.0,11392.3
2020,3,22,CN,Beijing,pm25,454,30.0,204.0,85.0,7164.1
2020,4,21,CN,Beijing,pm25,454,5.0,152.0,30.0,2283.89
2020,6,4,CN,Beijing,pm25,467,5.0,167.0,42.0,6208.91
2020,7,25,CN,Beijing,pm25,476,25.0,158.0,80.0,3118.48
2020,5,23,CN,Beijing,pm25,437,5.0,142.0,21.0,2577.57
2020,7,28,CN,Beijing,pm25,474,30.0,193.0,154.0,19397.9
2020,2,1,CN,Beijing,pm25,461,5.0,142.0,30.0,4584.63
2020,4,8,CN,Beijing,pm25,450,30.0,164.0,70.0,1947.55
2020,5,25,CN,Beijing,pm25,468,9.0,154.0,42.0,3480.38
2020,1,1,CN,Beijing,pm25,441,57.0,168.0,104.0,5778.64
2020,2,10,CN,Beijing,pm25,451,161.0,323.0,194.0,5670.86
2020,5,7,CN,Beijing,pm25,450,42.0,255.0,167.0,12331.1
2020,3,25,CN,Beijing,pm25,452,129.0,260.0,179.0,9680.39
2020,1,23,CN,Beijing,pm25,480,17.0,239.0,155.0,21878.5
2020,2,21,CN,Beijing,pm25,450,5.0,231.0,177.0,42377.3
2020,3,5,CN,Beijing,pm25,454,50.0,163.0,102.0,7385.66
2020,7,8,CN,Beijing,pm25,462,42.0,190.0,91.0,7461.27
2020,7,22,CN,Beijing,pm25,452,42.0,174.0,102.0,11647.1
2020,8,1,CN,Beijing,pm25,475,9.0,162.0,87.0,13059.9
2020,4,30,CN,Beijing,pm25,451,139.0,286.0,167.0,1589.07
2020,1,31,CN,Beijing,pm25,478,5.0,212.0,152.0,27976.1
2020,3,10,CN,Beijing,pm25,440,5.0,170.0,38.0,7871.1
2020,4,10,CN,Beijing,pm25,453,72.0,161.0,109.0,5380.47
2020,4,11,CN,Beijing,pm25,451,9.0,181.0,68.0,6673.0
2020,7,18,CN,Beijing,pm25,476,25.0,167.0,112.0,9125.81
2020,1,10,CN,Beijing,pm25,474,5.0,246.0,87.0,29572.5
2020,2,18,CN,Beijing,pm25,454,17.0,142.0,61.0,2796.32
2020,7,29,CN,Beijing,pm25,471,57.0,168.0,139.0,8333.98
2020,7,31,CN,Beijing,pm25,468,9.0,170.0,102.0,13960.5
2020,1,18,CN,Beijing,pm25,451,42.0,414.0,287.0,63937.9
2020,3,15,CN,Beijing,pm25,450,5.0,112.0,25.0,3654.43
2020,4,15,CN,Beijing,pm25,427,87.0,410.0,153.0,4042.14
2020,4,29,CN,Beijing,pm25,451,82.0,413.0,154.0,7389.48
2020,3,13,CN,Beijing,pm25,435,5.0,180.0,25.0,12579.0
2020,6,1,CN,Beijing,pm25,476,5.0,156.0,68.0,6564.38
2020,1,28,CN,Beijing,pm25,477,179.0,403.0,248.0,23774.9
2020,6,12,CN,Beijing,pm25,475,17.0,169.0,91.0,7619.77
2020,1,30,CN,Beijing,pm25,476,63.0,182.0,134.0,5470.92
2020,4,1,CN,Beijing,pm25,422,5.0,152.0,21.0,8464.84
2020,5,26,CN,Beijing,pm25,457,5.0,112.0,42.0,5106.48
2020,6,21,CN,Beijing,pm25,474,59.0,176.0,87.0,5165.8
2020,1,11,CN,Beijing,pm25,475,5.0,134.0,42.0,2779.3
2020,2,9,CN,Beijing,pm25,470,127.0,298.0,191.0,8011.24
2020,7,17,CN,Beijing,pm25,455,46.0,171.0,124.0,6490.56
2020,1,27,CN,Beijing,pm25,480,162.0,405.0,232.0,18711.1
2020,2,25,CN,Beijing,pm25,461,57.0,195.0,142.0,6946.65
2020,3,23,CN,Beijing,pm25,455,9.0,169.0,87.0,10887.8
2020,4,18,CN,Beijing,pm25,464,65.0,151.0,95.0,2850.05
2020,5,8,CN,Beijing,pm25,450,5.0,189.0,87.0,16841.4
2020,6,26,CN,Beijing,pm25,474,17.0,175.0,78.0,9457.06
2020,1,8,CN,Beijing,pm25,467,5.0,166.0,46.0,14717.1
2020,2,19,CN,Beijing,pm25,450,57.0,194.0,152.0,14666.6
2020,2,28,CN,Beijing,pm25,451,91.0,198.0,151.0,6395.48
2020,3,21,CN,Beijing,pm25,456,9.0,168.0,82.0,8817.0
2020,4,24,CN,Beijing,pm25,449,5.0,155.0,55.0,12158.4
2020,5,10,CN,Beijing,pm25,463,5.0,284.0,61.0,15164.6
2020,3,4,CN,Beijing,pm25,447,5.0,137.0,38.0,2969.76
2020,5,3,CN,Beijing,pm25,449,80.0,174.0,153.0,6078.62
2020,5,12,CN,Beijing,pm25,459,5.0,185.0,57.0,13601.2
2020,5,19,CN,Beijing,pm25,442,17.0,159.0,55.0,3387.84
2020,2,22,CN,Beijing,pm25,439,5.0,151.0,30.0,2466.97
2020,2,13,CN,Beijing,pm25,450,168.0,327.0,261.0,17633.5
2020,2,29,CN,Beijing,pm25,460,65.0,211.0,159.0,8600.86
2020,8,5,CN,Beijing,pm25,472,9.0,191.0,87.0,12204.3
2020,3,14,CN,Beijing,pm25,445,5.0,134.0,25.0,10293.6
2020,6,14,CN,Beijing,pm25,438,5.0,142.0,25.0,3459.44
2020,6,7,CN,Beijing,pm25,451,38.0,188.0,87.0,9093.48
2020,8,3,CN,Beijing,pm25,471,13.0,156.0,63.0,2748.95
2020,1,29,CN,Beijing,pm25,478,46.0,365.0,154.0,51399.6
2020,3,2,CN,Beijing,pm25,476,13.0,180.0,68.0,14740.5
2020,3,11,CN,Beijing,pm25,426,5.0,159.0,85.0,15983.8
2020,6,18,CN,Beijing,pm25,470,5.0,178.0,76.0,2109.61
2020,6,24,CN,Beijing,pm25,477,9.0,158.0,59.0,5626.45
2020,1,15,CN,Beijing,pm25,453,42.0,346.0,134.0,18039.6
2020,2,2,CN,Beijing,pm25,471,5.0,155.0,99.0,20163.9
2020,2,17,CN,Beijing,pm25,448,5.0,91.0,25.0,2497.91
2020,3,7,CN,Beijing,pm25,456,30.0,227.0,155.0,27272.4
2020,5,11,CN,Beijing,pm25,443,5.0,270.0,34.0,23114.6
2020,6,5,CN,Beijing,pm25,469,5.0,266.0,50.0,4934.17
2020,7,4,CN,Beijing,pm25,468,17.0,169.0,114.0,9233.39
2020,2,14,CN,Beijing,pm25,441,9.0,260.0,76.0,43002.9
2020,7,6,CN,Beijing,pm25,462,17.0,134.0,61.0,3282.6
2020,7,20,CN,Beijing,pm25,478,34.0,167.0,97.0,9429.97
2020,8,8,CN,Beijing,pm25,73,55.0,99.0,70.0,903.49
2019,12,30,CN,Beijing,pm25,401,5.0,147.0,34.0,1973.73
2020,1,3,CN,Beijing,pm25,446,63.0,224.0,152.0,9688.58
2020,4,2,CN,Beijing,pm25,436,5.0,164.0,61.0,12004.5
2020,4,20,CN,Beijing,pm25,429,5.0,87.0,30.0,2308.69
2020,6,17,CN,Beijing,pm25,474,9.0,824.0,63.0,38714.3
2020,7,2,CN,Beijing,pm25,445,13.0,157.0,85.0,4594.25
2020,8,2,CN,Beijing,pm25,467,9.0,192.0,59.0,2248.77
2020,5,28,CN,Beijing,pm25,452,17.0,165.0,99.0,11276.6
2020,2,11,CN,Beijing,pm25,450,172.0,380.0,247.0,16860.0
2020,4,25,CN,Beijing,pm25,452,5.0,166.0,42.0,5025.74
2020,1,6,CN,Beijing,pm25,469,63.0,180.0,154.0,4179.82
2020,4,17,CN,Beijing,pm25,449,25.0,156.0,76.0,2000.54
2020,6,13,CN,Beijing,pm25,479,5.0,264.0,132.0,24214.5
2020,7,10,CN,Beijing,pm25,473,61.0,162.0,122.0,7842.42
2020,6,19,CN,Beijing,pm25,472,25.0,824.0,74.0,40197.7
2020,6,23,CN,Beijing,pm25,475,9.0,164.0,127.0,11862.7
2020,2,4,CN,Beijing,pm25,465,5.0,162.0,30.0,12758.9
2020,2,7,CN,Beijing,pm25,468,127.0,210.0,160.0,1049.8
2020,1,13,CN,Beijing,pm25,448,9.0,161.0,46.0,1775.44
2020,1,20,CN,Beijing,pm25,382,5.0,95.0,30.0,3927.25
2020,4,19,CN,Beijing,pm25,470,5.0,170.0,119.0,13576.8
2020,7,27,CN,Beijing,pm25,477,59.0,172.0,147.0,8872.13
2020,7,13,CN,Beijing,pm25,476,42.0,174.0,109.0,14129.4
2020,2,6,CN,Beijing,pm25,452,34.0,161.0,119.0,12110.9
2020,3,6,CN,Beijing,pm25,448,117.0,195.0,165.0,1633.57
2020,3,17,CN,Beijing,pm25,453,17.0,162.0,99.0,6472.95
2020,3,31,CN,Beijing,pm25,459,59.0,177.0,154.0,3295.75
2020,4,4,CN,Beijing,pm25,452,9.0,158.0,70.0,11225.1
2020,6,22,CN,Beijing,pm25,469,61.0,190.0,129.0,9741.79
2020,8,6,CN,Beijing,pm25,454,9.0,155.0,91.0,7311.0
2020,2,5,CN,Beijing,pm25,454,9.0,157.0,78.0,13103.9
2020,3,20,CN,Beijing,pm25,454,9.0,175.0,93.0,8557.43
2020,5,31,CN,Beijing,pm25,454,5.0,139.0,42.0,8012.87
2019,12,31,CN,Beijing,pm25,433,5.0,156.0,72.0,11137.9
2020,5,22,CN,Beijing,pm25,449,5.0,175.0,109.0,22529.5
2020,7,5,CN,Beijing,pm25,473,13.0,189.0,70.0,11033.0
2020,7,7,CN,Beijing,pm25,440,5.0,155.0,53.0,4846.69
2020,3,18,CN,Beijing,pm25,452,5.0,179.0,112.0,19849.8
2020,5,1,CN,Beijing,pm25,456,89.0,240.0,176.0,6077.92
2020,5,16,CN,Beijing,pm25,462,30.0,162.0,117.0,7571.97
2020,6,8,CN,Beijing,pm25,459,38.0,253.0,112.0,15612.7
2020,1,4,CN,Beijing,pm25,457,30.0,282.0,112.0,21448.4
2020,2,16,CN,Beijing,pm25,431,5.0,93.0,17.0,1064.97
2020,3,3,CN,Beijing,pm25,143,5.0,160.0,137.0,31642.8
2020,7,11,CN,Beijing,pm25,465,74.0,194.0,163.0,7345.94
2020,5,29,CN,Beijing,pm25,471,68.0,171.0,151.0,4312.29
2020,6,30,CN,Beijing,pm25,474,9.0,168.0,59.0,4482.05
2020,7,12,CN,Beijing,pm25,471,53.0,198.0,163.0,12506.7
2020,7,16,CN,Beijing,pm25,469,42.0,176.0,122.0,9679.68
2020,3,26,CN,Beijing,pm25,426,5.0,165.0,21.0,19215.2
2020,3,27,CN,Beijing,pm25,438,5.0,61.0,21.0,1446.71
2020,4,5,CN,Beijing,pm25,451,53.0,162.0,82.0,2676.32
2020,7,14,CN,Beijing,pm25,472,38.0,155.0,95.0,5500.79
2020,1,25,CN,Beijing,pm25,470,117.0,404.0,196.0,16088.1
2020,4,13,CN,Beijing,pm25,425,9.0,273.0,85.0,7384.48
2020,5,2,CN,Beijing,pm25,453,74.0,178.0,147.0,6277.5
2020,3,24,CN,Beijing,pm25,439,46.0,182.0,99.0,16672.7
2020,4,3,CN,Beijing,pm25,443,5.0,129.0,50.0,8349.07
2020,4,7,CN,Beijing,pm25,447,34.0,207.0,122.0,19037.2
2020,6,3,CN,Beijing,pm25,475,9.0,204.0,137.0,11142.8
2020,1,2,CN,Beijing,pm25,450,85.0,189.0,152.0,3158.64
2020,4,16,CN,Beijing,pm25,428,9.0,171.0,70.0,17212.8
2020,5,4,CN,Beijing,pm25,453,42.0,167.0,93.0,4875.39
2020,5,24,CN,Beijing,pm25,462,5.0,85.0,34.0,2587.11
2020,1,24,CN,Beijing,pm25,466,50.0,224.0,157.0,6507.37
2020,4,28,CN,Beijing,pm25,438,85.0,240.0,153.0,2718.04
2020,6,11,CN,Beijing,pm25,471,25.0,192.0,114.0,18592.1
2020,3,12,CN,Beijing,pm25,434,5.0,173.0,38.0,31054.1
2020,5,18,CN,Beijing,pm25,460,5.0,134.0,42.0,5423.24
