Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,2,1,IN,Delhi,pm25,868,62.0,465.0,177.0,19649.2
2020,3,24,IN,Delhi,pm25,821,5.0,834.0,144.0,31658.8
2020,6,11,IN,Delhi,pm25,819,49.0,255.0,127.0,8997.48
2019,12,31,IN,Delhi,pm25,880,20.0,999.0,248.0,240920.0
2020,5,1,IN,Delhi,pm25,859,23.0,202.0,151.0,7548.84
2020,6,18,IN,Delhi,pm25,762,5.0,245.0,102.0,10384.2
2020,2,2,IN,Delhi,pm25,827,66.0,484.0,182.0,17575.6
2020,2,20,IN,Delhi,pm25,845,87.0,247.0,175.0,3096.4
2020,1,4,IN,Delhi,pm25,835,110.0,537.0,268.0,71914.1
2020,2,23,IN,Delhi,pm25,785,7.0,351.0,171.0,12756.3
2020,2,28,IN,Delhi,pm25,868,56.0,279.0,163.0,4808.86
2020,5,20,IN,Delhi,pm25,843,7.0,329.0,139.0,23143.3
2020,6,2,IN,Delhi,pm25,867,17.0,384.0,99.0,18289.5
2020,7,14,IN,Delhi,pm25,818,2.0,191.0,109.0,9336.78
2020,6,12,IN,Delhi,pm25,883,21.0,607.0,153.0,6819.59
2020,2,26,IN,Delhi,pm25,825,61.0,444.0,194.0,33102.7
2020,5,19,IN,Delhi,pm25,845,3.0,733.0,164.0,48992.4
2020,1,15,IN,Delhi,pm25,817,49.0,423.0,181.0,13031.3
2019,12,30,IN,Delhi,pm25,867,43.0,678.0,356.0,106687.0
2020,1,19,IN,Delhi,pm25,800,50.0,337.0,190.0,10114.6
2020,5,6,IN,Delhi,pm25,806,14.0,834.0,132.0,16670.3
2020,5,27,IN,Delhi,pm25,886,5.0,330.0,107.0,12385.6
2020,6,25,IN,Delhi,pm25,855,6.0,999.0,102.0,22445.2
2020,1,18,IN,Delhi,pm25,812,61.0,545.0,187.0,24646.0
2020,2,7,IN,Delhi,pm25,872,67.0,644.0,198.0,30110.1
2020,4,10,IN,Delhi,pm25,843,2.0,393.0,137.0,24484.7
2020,1,22,IN,Delhi,pm25,837,75.0,542.0,234.0,44527.2
2020,3,4,IN,Delhi,pm25,820,6.0,394.0,161.0,21538.7
2020,4,1,IN,Delhi,pm25,744,5.0,238.0,82.0,10990.8
2020,5,26,IN,Delhi,pm25,857,5.0,355.0,127.0,23506.3
2020,7,25,IN,Delhi,pm25,899,30.0,479.0,82.0,11921.7
2020,1,6,IN,Delhi,pm25,854,91.0,474.0,205.0,24962.6
2020,1,14,IN,Delhi,pm25,864,61.0,404.0,181.0,20402.6
2020,6,17,IN,Delhi,pm25,899,13.0,354.0,91.0,9480.64
2020,5,21,IN,Delhi,pm25,852,10.0,890.0,124.0,31214.3
2020,5,9,IN,Delhi,pm25,828,30.0,199.0,144.0,6837.42
2020,6,13,IN,Delhi,pm25,850,30.0,193.0,144.0,8529.52
2020,4,9,IN,Delhi,pm25,825,6.0,213.0,87.0,15060.5
2020,3,9,IN,Delhi,pm25,836,28.0,338.0,125.0,23441.1
2020,4,4,IN,Delhi,pm25,782,1.0,245.0,96.0,20069.3
2020,4,21,IN,Delhi,pm25,764,13.0,238.0,98.0,14088.2
2020,4,29,IN,Delhi,pm25,784,27.0,269.0,144.0,10434.4
2020,7,24,IN,Delhi,pm25,887,25.0,190.0,109.0,11775.5
2020,7,26,IN,Delhi,pm25,870,30.0,208.0,107.0,9689.12
2020,2,11,IN,Delhi,pm25,844,120.0,471.0,229.0,45749.7
2020,2,10,IN,Delhi,pm25,863,33.0,480.0,220.0,51105.0
2020,5,16,IN,Delhi,pm25,820,50.0,685.0,154.0,32056.7
2020,6,28,IN,Delhi,pm25,809,25.0,298.0,145.0,12564.4
2020,1,9,IN,Delhi,pm25,828,57.0,414.0,169.0,11167.7
2020,5,24,IN,Delhi,pm25,839,12.0,374.0,132.0,22028.9
2020,8,1,IN,Delhi,pm25,897,7.0,603.0,89.0,15259.5
2020,4,15,IN,Delhi,pm25,733,29.0,572.0,155.0,24157.9
2020,3,13,IN,Delhi,pm25,820,25.0,314.0,154.0,13468.6
2020,7,23,IN,Delhi,pm25,895,13.0,247.0,95.0,11528.9
2020,1,31,IN,Delhi,pm25,857,31.0,566.0,169.0,15647.0
2020,4,16,IN,Delhi,pm25,769,15.0,383.0,160.0,30844.4
2020,2,17,IN,Delhi,pm25,838,10.0,459.0,191.0,66501.4
