Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,6,14,ES,Las Palmas de Gran Canaria,pm25,159,5.0,104.0,13.0,1490.02
2020,2,29,ES,Las Palmas de Gran Canaria,pm25,202,5.0,810.0,21.0,32146.6
2020,4,9,ES,Las Palmas de Gran Canaria,pm25,202,5.0,78.0,17.0,1372.63
2020,1,30,ES,Las Palmas de Gran Canaria,pm25,165,5.0,87.0,34.0,2733.28
2020,7,6,ES,Las Palmas de Gran Canaria,pm25,161,5.0,114.0,50.0,2714.7
2020,1,27,ES,Las Palmas de Gran Canaria,pm25,148,5.0,50.0,21.0,804.44
2020,1,31,ES,Las Palmas de Gran Canaria,pm25,149,5.0,939.0,21.0,113628.0
2020,1,11,ES,Las Palmas de Gran Canaria,pm25,186,5.0,42.0,25.0,652.23
2020,3,5,ES,Las Palmas de Gran Canaria,pm25,217,5.0,810.0,30.0,30227.4
2020,3,16,ES,Las Palmas de Gran Canaria,pm25,215,5.0,59.0,25.0,1228.05
2020,3,25,ES,Las Palmas de Gran Canaria,pm25,223,9.0,114.0,46.0,1830.88
2020,5,7,ES,Las Palmas de Gran Canaria,pm25,188,5.0,834.0,17.0,83473.0
2020,6,24,ES,Las Palmas de Gran Canaria,pm25,203,5.0,65.0,21.0,1494.2
2020,1,4,ES,Las Palmas de Gran Canaria,pm25,194,5.0,53.0,25.0,870.44
2020,6,7,ES,Las Palmas de Gran Canaria,pm25,184,5.0,129.0,17.0,1734.15
2020,6,13,ES,Las Palmas de Gran Canaria,pm25,165,5.0,38.0,13.0,506.21
2020,8,4,ES,Las Palmas de Gran Canaria,pm25,206,5.0,59.0,30.0,1744.36
2020,1,26,ES,Las Palmas de Gran Canaria,pm25,84,5.0,34.0,17.0,548.35
2020,2,12,ES,Las Palmas de Gran Canaria,pm25,172,9.0,933.0,68.0,90776.1
2020,4,15,ES,Las Palmas de Gran Canaria,pm25,189,5.0,57.0,21.0,1409.84
2020,7,3,ES,Las Palmas de Gran Canaria,pm25,177,5.0,59.0,30.0,1775.98
2020,7,21,ES,Las Palmas de Gran Canaria,pm25,199,5.0,89.0,34.0,2136.44
2020,8,1,ES,Las Palmas de Gran Canaria,pm25,231,5.0,82.0,25.0,1503.54
2020,1,14,ES,Las Palmas de Gran Canaria,pm25,202,5.0,102.0,38.0,5308.41
2020,2,18,ES,Las Palmas de Gran Canaria,pm25,183,5.0,68.0,34.0,1729.94
2020,3,17,ES,Las Palmas de Gran Canaria,pm25,208,5.0,55.0,17.0,889.82
2020,4,8,ES,Las Palmas de Gran Canaria,pm25,220,5.0,57.0,17.0,999.94
2020,4,25,ES,Las Palmas de Gran Canaria,pm25,148,5.0,34.0,13.0,526.7
2020,1,1,ES,Las Palmas de Gran Canaria,pm25,177,13.0,161.0,50.0,8045.13
2020,2,26,ES,Las Palmas de Gran Canaria,pm25,193,5.0,872.0,34.0,78883.2
2020,3,12,ES,Las Palmas de Gran Canaria,pm25,232,5.0,87.0,46.0,2419.21
2020,3,14,ES,Las Palmas de Gran Canaria,pm25,207,5.0,50.0,25.0,1075.11
2020,6,19,ES,Las Palmas de Gran Canaria,pm25,181,5.0,59.0,17.0,739.77
