Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,5,20,IN,Thrissur,pm25,60,3.0,104.0,30.0,4296.98
2020,8,6,IN,Thrissur,pm25,37,2.0,86.0,21.0,6308.96
2020,2,11,IN,Thrissur,pm25,24,26.0,328.0,156.0,42959.8
2020,3,21,IN,Thrissur,pm25,24,13.0,64.0,14.0,2175.2
2020,4,30,IN,Thrissur,pm25,66,2.0,154.0,58.0,13543.2
2020,4,13,IN,Thrissur,pm25,48,13.0,102.0,61.0,8288.01
2020,5,5,IN,Thrissur,pm25,44,21.0,131.0,76.0,6677.94
2020,5,27,IN,Thrissur,pm25,65,2.0,114.0,38.0,7000.13
2020,6,30,IN,Thrissur,pm25,72,5.0,146.0,37.0,7032.53
2020,8,2,IN,Thrissur,pm25,16,1.0,38.0,13.0,1281.17
2020,2,18,IN,Thrissur,pm25,24,16.0,211.0,39.0,21112.2
2020,4,4,IN,Thrissur,pm25,59,17.0,121.0,67.0,6013.09
2020,4,6,IN,Thrissur,pm25,72,1.0,129.0,38.0,4711.45
2020,6,7,IN,Thrissur,pm25,72,5.0,138.0,50.0,5379.16
2020,6,20,IN,Thrissur,pm25,62,13.0,126.0,52.0,7472.09
2020,1,14,IN,Thrissur,pm25,21,15.0,173.0,56.0,35373.5
2020,1,30,IN,Thrissur,pm25,24,13.0,58.0,17.0,1443.32
2020,4,27,IN,Thrissur,pm25,47,1.0,88.0,38.0,6969.0
2020,2,9,IN,Thrissur,pm25,24,82.0,191.0,155.0,11183.0
2020,7,17,IN,Thrissur,pm25,69,1.0,92.0,46.0,5462.5
2020,7,26,IN,Thrissur,pm25,72,1.0,165.0,54.0,10843.5
2020,4,8,IN,Thrissur,pm25,72,14.0,139.0,59.0,6096.31
2020,4,24,IN,Thrissur,pm25,55,5.0,89.0,39.0,6775.37
2020,6,17,IN,Thrissur,pm25,48,22.0,125.0,46.0,9600.49
2020,7,4,IN,Thrissur,pm25,57,1.0,133.0,53.0,6557.17
2020,2,14,IN,Thrissur,pm25,24,93.0,202.0,162.0,7443.7
2020,2,17,IN,Thrissur,pm25,24,20.0,109.0,31.0,4334.76
2020,3,28,IN,Thrissur,pm25,39,13.0,158.0,78.0,14919.2
2020,7,15,IN,Thrissur,pm25,71,1.0,90.0,46.0,4795.23
2020,6,6,IN,Thrissur,pm25,53,1.0,80.0,25.0,5567.05
2020,4,22,IN,Thrissur,pm25,70,13.0,106.0,37.0,4837.85
2020,7,31,IN,Thrissur,pm25,45,1.0,60.0,10.0,3146.55
2020,1,29,IN,Thrissur,pm25,24,13.0,53.0,16.0,1323.89
2020,4,19,IN,Thrissur,pm25,60,13.0,317.0,69.0,22758.0
2020,6,10,IN,Thrissur,pm25,72,4.0,136.0,53.0,7910.61
2020,7,21,IN,Thrissur,pm25,62,9.0,115.0,45.0,3760.77
2020,7,22,IN,Thrissur,pm25,48,9.0,78.0,44.0,1891.59
2020,1,8,IN,Thrissur,pm25,24,13.0,155.0,35.0,12864.3
2020,5,14,IN,Thrissur,pm25,49,38.0,106.0,61.0,3070.98
2020,6,1,IN,Thrissur,pm25,70,1.0,86.0,27.0,3127.59
2020,1,2,IN,Thrissur,pm25,24,13.0,160.0,69.0,15943.5
2020,2,13,IN,Thrissur,pm25,24,89.0,197.0,168.0,8858.1
2020,4,11,IN,Thrissur,pm25,72,15.0,113.0,55.0,4232.3
2020,3,14,IN,Thrissur,pm25,24,13.0,191.0,18.0,21324.3
2020,3,20,IN,Thrissur,pm25,24,16.0,151.0,57.0,17967.5
