Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,1,20,IT,Bologna,pm25,96,68.0,78.0,68.0,252.63
2020,3,8,IT,Bologna,pm25,96,30.0,38.0,30.0,161.68
2020,2,21,IT,Bologna,pm25,48,68.0,82.0,68.0,500.43
2020,5,7,IT,Bologna,pm25,96,21.0,38.0,21.0,730.1
2020,6,12,IT,Bologna,pm25,96,34.0,38.0,34.0,40.42
2020,7,19,IT,Bologna,pm25,96,21.0,25.0,21.0,40.42
2020,1,24,IT,Bologna,pm25,96,154.0,154.0,154.0,0.0
2020,5,23,IT,Bologna,pm25,96,38.0,50.0,38.0,363.79
2020,7,14,IT,Bologna,pm25,96,30.0,34.0,30.0,40.42
2020,1,30,IT,Bologna,pm25,96,59.0,59.0,59.0,0.0
2020,3,10,IT,Bologna,pm25,96,59.0,65.0,59.0,90.95
2020,6,25,IT,Bologna,pm25,96,21.0,50.0,21.0,2124.63
2020,6,29,IT,Bologna,pm25,96,25.0,34.0,25.0,204.63
2020,5,3,IT,Bologna,pm25,96,21.0,38.0,21.0,730.1
2020,1,9,IT,Bologna,pm25,96,82.0,97.0,82.0,568.42
2020,2,9,IT,Bologna,pm25,48,97.0,109.0,97.0,367.66
2020,2,13,IT,Bologna,pm25,48,38.0,61.0,38.0,1350.64
2020,4,12,IT,Bologna,pm25,48,34.0,34.0,34.0,0.0
2020,5,24,IT,Bologna,pm25,96,30.0,42.0,30.0,363.79
2020,1,31,IT,Bologna,pm25,96,72.0,82.0,72.0,252.63
2020,2,3,IT,Bologna,pm25,96,59.0,65.0,59.0,90.95
2020,3,15,IT,Bologna,pm25,96,30.0,38.0,30.0,161.68
2020,3,24,IT,Bologna,pm25,96,50.0,55.0,50.0,63.16
2020,4,15,IT,Bologna,pm25,96,38.0,38.0,38.0,0.0
2020,5,20,IT,Bologna,pm25,96,34.0,46.0,34.0,363.79
2020,6,2,IT,Bologna,pm25,96,13.0,21.0,13.0,161.68
2020,6,9,IT,Bologna,pm25,48,30.0,30.0,30.0,0.0
2020,7,7,IT,Bologna,pm25,96,21.0,30.0,21.0,204.63
2020,7,21,IT,Bologna,pm25,96,42.0,53.0,42.0,305.68
2020,3,11,IT,Bologna,pm25,96,53.0,57.0,53.0,40.42
2020,6,22,IT,Bologna,pm25,96,34.0,38.0,34.0,40.42
2020,8,2,IT,Bologna,pm25,48,13.0,13.0,13.0,0.0
2020,1,1,IT,Bologna,pm25,96,82.0,87.0,82.0,63.16
2020,2,10,IT,Bologna,pm25,48,134.0,149.0,134.0,574.47
2020,2,24,IT,Bologna,pm25,96,93.0,109.0,93.0,646.74
2020,5,6,IT,Bologna,pm25,96,21.0,42.0,21.0,1114.11
2020,5,31,IT,Bologna,pm25,96,13.0,25.0,13.0,363.79
2020,6,11,IT,Bologna,pm25,48,30.0,30.0,30.0,0.0
2020,6,13,IT,Bologna,pm25,96,30.0,34.0,30.0,40.42
2020,6,14,IT,Bologna,pm25,96,13.0,25.0,13.0,363.79
2020,7,27,IT,Bologna,pm25,96,42.0,55.0,42.0,426.95
2020,2,26,IT,Bologna,pm25,96,13.0,42.0,13.0,2124.63
2020,4,17,IT,Bologna,pm25,96,38.0,53.0,38.0,568.42
2020,5,5,IT,Bologna,pm25,96,17.0,38.0,17.0,1114.11
2020,5,9,IT,Bologna,pm25,96,25.0,34.0,25.0,204.63
2020,6,10,IT,Bologna,pm25,48,25.0,25.0,25.0,0.0
2020,1,11,IT,Bologna,pm25,96,119.0,127.0,119.0,161.68
2020,2,17,IT,Bologna,pm25,48,87.0,102.0,87.0,574.47
2020,2,23,IT,Bologna,pm25,96,93.0,104.0,93.0,305.68
2020,4,7,IT,Bologna,pm25,96,63.0,70.0,63.0,123.79
2020,7,30,IT,Bologna,pm25,48,57.0,57.0,57.0,0.0
2020,2,7,IT,Bologna,pm25,72,63.0,68.0,63.0,56.34
2020,1,4,IT,Bologna,pm25,96,55.0,63.0,55.0,161.68
2020,1,25,IT,Bologna,pm25,96,160.0,160.0,160.0,0.0
2020,3,7,IT,Bologna,pm25,96,65.0,72.0,65.0,123.79
2020,3,19,IT,Bologna,pm25,96,63.0,70.0,63.0,123.79
2020,5,11,IT,Bologna,pm25,96,13.0,13.0,13.0,0.0
2020,5,22,IT,Bologna,pm25,96,38.0,53.0,38.0,568.42
2020,1,3,IT,Bologna,pm25,96,68.0,78.0,68.0,252.63
2020,2,12,IT,Bologna,pm25,24,13.0,13.0,13.0,0.0
2020,4,21,IT,Bologna,pm25,96,21.0,34.0,21.0,426.95
2020,5,16,IT,Bologna,pm25,48,25.0,25.0,25.0,0.0
2020,6,21,IT,Bologna,pm25,96,30.0,34.0,30.0,40.42
2020,7,10,IT,Bologna,pm25,96,50.0,55.0,50.0,63.16
2020,7,3,IT,Bologna,pm25,96,25.0,34.0,25.0,204.63
2020,2,28,IT,Bologna,pm25,96,38.0,42.0,38.0,40.42
2020,2,29,IT,Bologna,pm25,96,46.0,55.0,46.0,204.63
2020,7,2,IT,Bologna,pm25,96,38.0,50.0,38.0,363.79
2020,1,29,IT,Bologna,pm25,96,30.0,46.0,30.0,646.74
2020,3,9,IT,Bologna,pm25,96,55.0,59.0,55.0,40.42
2020,4,28,IT,Bologna,pm25,96,13.0,21.0,13.0,161.68
2020,1,21,IT,Bologna,pm25,96,74.0,80.0,74.0,90.95
2020,2,14,IT,Bologna,pm25,48,91.0,95.0,91.0,40.85
2020,3,6,IT,Bologna,pm25,96,55.0,59.0,55.0,40.42
2020,4,1,IT,Bologna,pm25,96,38.0,50.0,38.0,363.79
2020,4,19,IT,Bologna,pm25,96,21.0,46.0,21.0,1578.95
2020,5,28,IT,Bologna,pm25,48,21.0,21.0,21.0,0.0
2020,1,8,IT,Bologna,pm25,96,109.0,114.0,109.0,63.16
2020,1,14,IT,Bologna,pm25,96,149.0,153.0,149.0,40.42
2020,2,15,IT,Bologna,pm25,48,80.0,87.0,80.0,125.11
2020,4,18,IT,Bologna,pm25,96,38.0,38.0,38.0,0.0
2020,5,8,IT,Bologna,pm25,96,25.0,46.0,25.0,1114.11
2020,3,26,IT,Bologna,pm25,96,38.0,46.0,38.0,161.68
2020,5,2,IT,Bologna,pm25,96,21.0,30.0,21.0,204.63
2020,1,10,IT,Bologna,pm25,96,87.0,109.0,87.0,1222.74
2020,3,1,IT,Bologna,pm25,96,74.0,82.0,74.0,161.68
2020,3,29,IT,Bologna,pm25,92,55.0,63.0,55.0,161.76
2020,4,3,IT,Bologna,pm25,96,55.0,61.0,55.0,90.95
2020,5,4,IT,Bologna,pm25,96,25.0,42.0,25.0,730.1
2020,8,5,IT,Bologna,pm25,48,34.0,34.0,34.0,0.0
2020,8,6,IT,Bologna,pm25,96,50.0,61.0,50.0,305.68
2020,1,7,IT,Bologna,pm25,96,114.0,117.0,114.0,22.74
2020,1,27,IT,Bologna,pm25,96,61.0,74.0,61.0,426.95
2020,5,19,IT,Bologna,pm25,96,50.0,53.0,50.0,22.74
2020,5,21,IT,Bologna,pm25,96,30.0,42.0,30.0,363.79
2020,6,1,IT,Bologna,pm25,96,13.0,21.0,13.0,161.68
2020,6,17,IT,Bologna,pm25,96,21.0,30.0,21.0,204.63
2020,4,22,IT,Bologna,pm25,96,42.0,55.0,42.0,426.95
2020,6,5,IT,Bologna,pm25,96,13.0,17.0,13.0,40.42
2020,3,17,IT,Bologna,pm25,96,59.0,68.0,59.0,204.63
2020,4,6,IT,Bologna,pm25,96,65.0,72.0,65.0,123.79
2020,5,25,IT,Bologna,pm25,96,30.0,38.0,30.0,161.68
2020,7,29,IT,Bologna,pm25,96,53.0,61.0,53.0,161.68
2020,1,2,IT,Bologna,pm25,96,122.0,124.0,122.0,10.11
