Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,2,22,US,Los Angeles,pm25,47,8.0,59.0,34.0,863.76
2020,3,5,US,Los Angeles,pm25,64,30.0,131.0,63.0,4582.44
2020,3,14,US,Los Angeles,pm25,68,4.0,50.0,18.0,1343.56
2020,3,17,US,Los Angeles,pm25,70,3.0,63.0,21.0,1908.41
2020,6,4,US,Los Angeles,pm25,72,30.0,68.0,54.0,750.05
2020,6,22,US,Los Angeles,pm25,36,21.0,76.0,49.0,1848.09
2020,1,2,US,Los Angeles,pm25,118,30.0,85.0,61.0,1679.41
2020,7,12,US,Los Angeles,pm25,70,28.0,74.0,55.0,1022.46
2020,7,10,US,Los Angeles,pm25,72,46.0,107.0,63.0,1463.38
2020,5,13,US,Los Angeles,pm25,69,8.0,55.0,29.0,1399.5
2020,8,5,US,Los Angeles,pm25,36,24.0,64.0,48.0,764.47
2020,2,3,US,Los Angeles,pm25,66,5.0,52.0,23.0,1396.96
2020,1,22,US,Los Angeles,pm25,72,25.0,80.0,46.0,2070.66
2020,4,7,US,Los Angeles,pm25,53,3.0,47.0,17.0,1266.01
2020,5,19,US,Los Angeles,pm25,69,2.0,60.0,28.0,1202.43
2020,8,4,US,Los Angeles,pm25,44,34.0,72.0,56.0,995.48
2020,1,13,US,Los Angeles,pm25,72,30.0,97.0,63.0,3617.31
2020,2,10,US,Los Angeles,pm25,47,13.0,69.0,38.0,1635.84
2020,2,12,US,Los Angeles,pm25,48,30.0,72.0,46.0,983.76
2020,3,12,US,Los Angeles,pm25,72,6.0,60.0,29.0,1987.13
2020,3,31,US,Los Angeles,pm25,71,25.0,72.0,42.0,1311.52
2020,4,27,US,Los Angeles,pm25,24,50.0,70.0,59.0,249.4
2020,6,21,US,Los Angeles,pm25,44,21.0,65.0,49.0,779.94
2020,4,19,US,Los Angeles,pm25,23,5.0,30.0,21.0,339.88
2020,3,2,US,Los Angeles,pm25,38,17.0,65.0,34.0,1734.29
2020,3,21,US,Los Angeles,pm25,67,6.0,95.0,22.0,2335.33
2020,3,22,US,Los Angeles,pm25,66,2.0,52.0,26.0,1885.58
2020,4,12,US,Los Angeles,pm25,68,5.0,50.0,29.0,1428.51
2020,8,3,US,Los Angeles,pm25,42,18.0,93.0,60.0,2824.72
2020,2,24,US,Los Angeles,pm25,68,28.0,78.0,56.0,843.17
2020,3,7,US,Los Angeles,pm25,58,3.0,59.0,20.0,1876.92
2020,4,3,US,Los Angeles,pm25,57,26.0,66.0,45.0,869.62
2020,4,14,US,Los Angeles,pm25,71,13.0,60.0,41.0,1095.35
2020,5,2,US,Los Angeles,pm25,72,3.0,65.0,43.0,2403.66
2020,7,21,US,Los Angeles,pm25,45,13.0,132.0,47.0,7176.89
2020,1,12,US,Los Angeles,pm25,72,28.0,87.0,62.0,2448.86
2020,5,17,US,Los Angeles,pm25,72,10.0,62.0,46.0,2247.02
2020,7,27,US,Los Angeles,pm25,23,25.0,65.0,46.0,1321.58
2020,2,19,US,Los Angeles,pm25,47,47.0,97.0,70.0,2073.02
2020,4,20,US,Los Angeles,pm25,22,17.0,46.0,30.0,784.18
2020,4,26,US,Los Angeles,pm25,21,46.0,70.0,61.0,359.48
2020,2,15,US,Los Angeles,pm25,48,36.0,106.0,63.0,2052.32
2020,6,18,US,Los Angeles,pm25,66,26.0,62.0,43.0,647.54
2020,2,2,US,Los Angeles,pm25,72,17.0,99.0,57.0,4792.27
2020,2,17,US,Los Angeles,pm25,48,45.0,108.0,67.0,1795.95
2020,3,30,US,Los Angeles,pm25,71,8.0,53.0,39.0,1126.99
2020,4,22,US,Los Angeles,pm25,72,9.0,64.0,50.0,1308.29
2020,6,12,US,Los Angeles,pm25,72,21.0,61.0,42.0,724.55
2020,4,2,US,Los Angeles,pm25,72,23.0,57.0,46.0,542.75
2020,6,9,US,Los Angeles,pm25,70,5.0,61.0,25.0,3083.1
2020,7,4,US,Los Angeles,pm25,72,25.0,506.0,55.0,102073.0
2020,1,31,US,Los Angeles,pm25,68,6.0,84.0,46.0,4776.2
2020,2,20,US,Los Angeles,pm25,48,31.0,107.0,70.0,3349.68
2020,5,8,US,Los Angeles,pm25,63,42.0,93.0,61.0,1478.06
2020,7,13,US,Los Angeles,pm25,72,42.0,76.0,60.0,522.96
2020,8,7,US,Los Angeles,pm25,15,14.0,63.0,46.0,2074.57
2020,1,9,US,Los Angeles,pm25,66,8.0,68.0,42.0,2675.49
2020,3,16,US,Los Angeles,pm25,66,8.0,53.0,30.0,1276.16
2020,4,30,US,Los Angeles,pm25,72,25.0,87.0,61.0,2274.05
2020,8,6,US,Los Angeles,pm25,44,17.0,61.0,46.0,1064.8
2020,1,30,US,Los Angeles,pm25,72,17.0,101.0,43.0,3504.69
2020,4,29,US,Los Angeles,pm25,72,35.0,107.0,52.0,2217.31
2020,2,14,US,Los Angeles,pm25,48,26.0,99.0,57.0,2309.78
2020,4,5,US,Los Angeles,pm25,38,1.0,37.0,17.0,1289.56
2020,6,19,US,Los Angeles,pm25,72,14.0,69.0,45.0,1167.02
2020,7,11,US,Los Angeles,pm25,72,25.0,99.0,48.0,1871.14
2020,1,14,US,Los Angeles,pm25,72,38.0,103.0,73.0,2145.62
2020,4,24,US,Los Angeles,pm25,40,24.0,68.0,41.0,1684.35
2020,6,17,US,Los Angeles,pm25,72,18.0,61.0,42.0,631.27
2020,2,11,US,Los Angeles,pm25,48,9.0,68.0,34.0,1906.56
2020,5,9,US,Los Angeles,pm25,71,52.0,95.0,65.0,999.0
2020,6,5,US,Los Angeles,pm25,72,13.0,46.0,32.0,496.57
2020,6,10,US,Los Angeles,pm25,71,17.0,71.0,43.0,2246.09
2020,7,2,US,Los Angeles,pm25,69,23.0,67.0,46.0,1094.85
2020,1,23,US,Los Angeles,pm25,72,17.0,86.0,57.0,4098.97
2020,4,16,US,Los Angeles,pm25,72,25.0,68.0,44.0,1068.91
2020,6,24,US,Los Angeles,pm25,66,15.0,91.0,46.0,3010.19
2020,4,8,US,Los Angeles,pm25,63,5.0,55.0,22.0,1489.93
2020,1,16,US,Los Angeles,pm25,72,3.0,157.0,80.0,29856.0
2020,2,1,US,Los Angeles,pm25,72,17.0,78.0,43.0,3275.63
2020,3,18,US,Los Angeles,pm25,72,2.0,69.0,30.0,2683.85
2020,4,11,US,Los Angeles,pm25,70,6.0,42.0,29.0,855.99
2020,5,24,US,Los Angeles,pm25,72,42.0,77.0,61.0,347.37
2020,6,23,US,Los Angeles,pm25,64,25.0,91.0,46.0,1837.21
2020,7,23,US,Los Angeles,pm25,24,21.0,61.0,42.0,1210.43
2020,1,4,US,Los Angeles,pm25,120,25.0,133.0,68.0,4577.94
2020,5,6,US,Los Angeles,pm25,72,25.0,80.0,57.0,1585.16
2020,6,29,US,Los Angeles,pm25,68,4.0,57.0,31.0,1472.27
2020,1,8,US,Los Angeles,pm25,72,22.0,70.0,50.0,1408.44
2020,5,14,US,Los Angeles,pm25,72,17.0,65.0,41.0,1269.28
2020,8,2,US,Los Angeles,pm25,41,15.0,82.0,59.0,3419.74
2020,3,11,US,Los Angeles,pm25,68,5.0,42.0,20.0,743.17
2020,4,1,US,Los Angeles,pm25,72,20.0,61.0,39.0,1020.4
2020,5,15,US,Los Angeles,pm25,72,27.0,71.0,41.0,775.99
2020,3,6,US,Los Angeles,pm25,72,18.0,102.0,54.0,3497.96
2020,7,9,US,Los Angeles,pm25,72,49.0,85.0,59.0,811.95
2020,3,10,US,Los Angeles,pm25,72,1.0,37.0,17.0,844.04
2020,2,26,US,Los Angeles,pm25,69,1.0,74.0,50.0,3033.7
2020,3,1,US,Los Angeles,pm25,72,4.0,55.0,38.0,1333.0
2020,4,6,US,Los Angeles,pm25,46,3.0,24.0,12.0,290.43
2020,2,5,US,Los Angeles,pm25,72,5.0,82.0,30.0,4761.06
2020,5,11,US,Los Angeles,pm25,72,25.0,55.0,45.0,664.12
2020,4,23,US,Los Angeles,pm25,72,25.0,74.0,46.0,1596.32
2020,1,7,US,Los Angeles,pm25,116,9.0,59.0,25.0,1919.22
2020,6,30,US,Los Angeles,pm25,72,17.0,71.0,42.0,1313.19
2020,1,5,US,Los Angeles,pm25,120,24.0,124.0,61.0,4646.95
2020,1,19,US,Los Angeles,pm25,72,5.0,103.0,50.0,5850.92
