Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,5,20,ES,Madrid,pm25,210,5.0,87.0,30.0,2075.14
2020,3,13,ES,Madrid,pm25,212,9.0,76.0,55.0,1414.44
2020,4,7,ES,Madrid,pm25,206,5.0,170.0,30.0,6944.37
2020,4,19,ES,Madrid,pm25,207,5.0,74.0,21.0,2231.92
2020,4,24,ES,Madrid,pm25,209,5.0,68.0,34.0,2051.61
2020,5,14,ES,Madrid,pm25,185,5.0,74.0,21.0,2084.95
2020,6,26,ES,Madrid,pm25,184,5.0,80.0,46.0,2075.55
2020,2,16,ES,Madrid,pm25,213,5.0,99.0,63.0,3146.62
2020,1,28,ES,Madrid,pm25,168,5.0,76.0,17.0,1315.26
2020,2,7,ES,Madrid,pm25,214,42.0,139.0,65.0,1533.55
2020,3,6,ES,Madrid,pm25,208,5.0,87.0,13.0,1591.2
2020,7,15,ES,Madrid,pm25,214,5.0,117.0,34.0,2947.25
2020,8,1,ES,Madrid,pm25,210,5.0,93.0,46.0,3338.59
2020,3,10,ES,Madrid,pm25,215,5.0,142.0,50.0,3270.47
2020,3,31,ES,Madrid,pm25,203,5.0,53.0,21.0,1121.75
2020,2,10,ES,Madrid,pm25,184,5.0,107.0,57.0,3701.9
2020,5,3,ES,Madrid,pm25,208,5.0,95.0,34.0,2985.06
2020,5,13,ES,Madrid,pm25,200,5.0,164.0,21.0,6036.38
2020,5,26,ES,Madrid,pm25,208,5.0,159.0,34.0,5272.37
2020,1,23,ES,Madrid,pm25,201,17.0,122.0,65.0,2973.14
2020,3,20,ES,Madrid,pm25,213,5.0,134.0,46.0,2640.55
2020,5,25,ES,Madrid,pm25,194,5.0,182.0,46.0,9393.96
2020,2,25,ES,Madrid,pm25,212,5.0,122.0,42.0,6920.1
2020,4,5,ES,Madrid,pm25,205,9.0,65.0,30.0,1218.69
2020,6,13,ES,Madrid,pm25,183,5.0,144.0,25.0,4122.3
2020,3,27,ES,Madrid,pm25,213,5.0,59.0,38.0,2039.35
2020,6,15,ES,Madrid,pm25,183,5.0,89.0,34.0,2203.86
2020,8,5,ES,Madrid,pm25,209,5.0,114.0,34.0,4421.83
2020,1,27,ES,Madrid,pm25,174,5.0,89.0,38.0,3382.27
2020,3,17,ES,Madrid,pm25,204,5.0,104.0,21.0,2500.2
2020,4,6,ES,Madrid,pm25,204,5.0,87.0,25.0,2579.06
2020,7,7,ES,Madrid,pm25,188,5.0,91.0,42.0,4131.06
2020,2,22,ES,Madrid,pm25,214,21.0,142.0,57.0,3432.16
2020,5,29,ES,Madrid,pm25,208,5.0,91.0,42.0,2579.85
2020,6,4,ES,Madrid,pm25,192,5.0,244.0,38.0,7482.84
2020,1,19,ES,Madrid,pm25,211,5.0,137.0,17.0,3371.67
2020,3,12,ES,Madrid,pm25,213,5.0,109.0,50.0,2750.69
2020,4,16,ES,Madrid,pm25,205,5.0,85.0,25.0,2180.96
2020,5,27,ES,Madrid,pm25,213,5.0,144.0,38.0,4112.09
2020,1,18,ES,Madrid,pm25,215,5.0,99.0,50.0,3031.74
2020,5,24,ES,Madrid,pm25,184,5.0,155.0,38.0,5222.0
2020,6,6,ES,Madrid,pm25,210,5.0,153.0,38.0,4302.97
2020,6,23,ES,Madrid,pm25,170,9.0,124.0,50.0,3998.91
2020,6,29,ES,Madrid,pm25,188,5.0,114.0,38.0,3306.98
2020,7,27,ES,Madrid,pm25,207,5.0,87.0,59.0,3470.05
2020,5,2,ES,Madrid,pm25,214,5.0,159.0,25.0,3893.48
2020,5,12,ES,Madrid,pm25,199,5.0,78.0,25.0,2813.2
2020,7,20,ES,Madrid,pm25,212,5.0,161.0,63.0,5228.32
2020,6,21,ES,Madrid,pm25,189,5.0,78.0,42.0,2213.85
2020,1,24,ES,Madrid,pm25,214,5.0,97.0,55.0,1836.05
2020,3,19,ES,Madrid,pm25,212,5.0,109.0,46.0,2821.97
2020,4,3,ES,Madrid,pm25,209,5.0,57.0,30.0,1005.43
2020,4,15,ES,Madrid,pm25,207,5.0,63.0,25.0,1830.82
2020,7,9,ES,Madrid,pm25,120,5.0,89.0,53.0,3200.6
2020,1,30,ES,Madrid,pm25,201,5.0,78.0,38.0,2055.55
2020,3,26,ES,Madrid,pm25,213,5.0,65.0,30.0,1636.43
2020,5,7,ES,Madrid,pm25,213,5.0,91.0,38.0,2129.11
2020,8,7,ES,Madrid,pm25,171,5.0,82.0,46.0,2607.21
2020,7,17,ES,Madrid,pm25,198,5.0,180.0,25.0,5294.9
2020,1,17,ES,Madrid,pm25,215,5.0,87.0,38.0,2497.54
2020,3,14,ES,Madrid,pm25,215,5.0,87.0,42.0,2230.78
2020,4,4,ES,Madrid,pm25,207,5.0,53.0,30.0,1122.3
2020,2,2,ES,Madrid,pm25,214,5.0,87.0,46.0,3289.26
2020,3,3,ES,Madrid,pm25,85,5.0,59.0,25.0,1481.04
2020,4,21,ES,Madrid,pm25,184,5.0,53.0,17.0,924.96
2020,7,4,ES,Madrid,pm25,123,5.0,68.0,25.0,2077.1
2020,1,1,ES,Madrid,pm25,170,5.0,171.0,93.0,8741.02
2020,1,12,ES,Madrid,pm25,214,5.0,117.0,68.0,4530.95
2020,4,14,ES,Madrid,pm25,216,5.0,68.0,42.0,1811.05
2020,5,17,ES,Madrid,pm25,186,5.0,65.0,34.0,1338.67
2020,1,29,ES,Madrid,pm25,209,5.0,216.0,21.0,5388.51
2020,2,8,ES,Madrid,pm25,216,30.0,119.0,74.0,2587.76
2020,3,1,ES,Madrid,pm25,210,5.0,107.0,21.0,1884.38
2020,3,15,ES,Madrid,pm25,210,5.0,162.0,38.0,3599.32
2020,3,24,ES,Madrid,pm25,209,5.0,59.0,25.0,1682.79
