Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,1,29,US,Manhattan,pm25,66,1.0,58.0,23.0,1039.32
2020,2,29,US,Manhattan,pm25,45,1.0,38.0,18.0,1020.28
2020,6,23,US,Manhattan,pm25,71,16.0,68.0,40.0,1915.14
2020,7,4,US,Manhattan,pm25,68,2.0,167.0,24.0,16043.1
2020,1,5,US,Manhattan,pm25,58,4.0,60.0,31.0,1921.75
2020,2,18,US,Manhattan,pm25,72,17.0,72.0,38.0,1604.23
2020,5,11,US,Manhattan,pm25,41,1.0,48.0,21.0,1423.74
2020,6,18,US,Manhattan,pm25,38,2.0,57.0,20.0,2916.5
2020,6,22,US,Manhattan,pm25,70,3.0,59.0,22.0,1977.96
2020,1,28,US,Manhattan,pm25,67,5.0,45.0,20.0,539.3
2020,2,7,US,Manhattan,pm25,80,3.0,92.0,34.0,3150.18
2020,5,8,US,Manhattan,pm25,40,2.0,34.0,13.0,1022.56
2020,1,21,US,Manhattan,pm25,72,1.0,67.0,31.0,2176.12
2020,2,11,US,Manhattan,pm25,67,5.0,80.0,32.0,2951.37
2020,4,7,US,Manhattan,pm25,70,1.0,40.0,19.0,981.08
2020,7,22,US,Manhattan,pm25,66,1.0,83.0,53.0,4873.09
2020,3,6,US,Manhattan,pm25,72,1.0,68.0,26.0,1721.49
2020,3,26,US,Manhattan,pm25,51,3.0,45.0,28.0,1180.92
2020,5,18,US,Manhattan,pm25,48,3.0,47.0,13.0,747.87
2020,5,25,US,Manhattan,pm25,48,4.0,38.0,18.0,1102.98
2020,7,25,US,Manhattan,pm25,67,5.0,80.0,33.0,2528.48
2020,6,28,US,Manhattan,pm25,69,5.0,90.0,42.0,3443.53
2020,1,31,US,Manhattan,pm25,48,33.0,62.0,50.0,552.62
2020,2,25,US,Manhattan,pm25,62,25.0,88.0,52.0,1828.59
2020,3,17,US,Manhattan,pm25,71,1.0,75.0,25.0,2504.33
2020,5,9,US,Manhattan,pm25,33,2.0,33.0,6.0,992.16
2020,5,22,US,Manhattan,pm25,48,4.0,50.0,25.0,916.58
2020,7,18,US,Manhattan,pm25,65,4.0,67.0,37.0,2376.81
2020,1,24,US,Manhattan,pm25,72,22.0,153.0,71.0,5709.84
2020,3,22,US,Manhattan,pm25,68,9.0,104.0,25.0,2055.8
2020,7,2,US,Manhattan,pm25,71,1.0,63.0,26.0,2997.19
2020,7,20,US,Manhattan,pm25,72,2.0,88.0,30.0,5271.48
2020,8,1,US,Manhattan,pm25,69,2.0,71.0,34.0,3336.59
2020,8,6,US,Manhattan,pm25,47,3.0,56.0,33.0,2897.48
2020,2,2,US,Manhattan,pm25,48,11.0,59.0,40.0,1735.07
2020,3,19,US,Manhattan,pm25,70,5.0,69.0,18.0,2197.29
2020,3,31,US,Manhattan,pm25,61,1.0,48.0,15.0,1061.73
2020,4,4,US,Manhattan,pm25,70,1.0,33.0,12.0,650.34
2020,1,1,US,Manhattan,pm25,65,1.0,59.0,27.0,1272.2
2020,6,7,US,Manhattan,pm25,34,1.0,22.0,10.0,347.2
2020,7,13,US,Manhattan,pm25,69,4.0,52.0,18.0,1593.65
2020,7,17,US,Manhattan,pm25,62,1.0,63.0,26.0,3182.28
2020,5,17,US,Manhattan,pm25,43,1.0,38.0,8.0,680.92
2020,8,4,US,Manhattan,pm25,59,1.0,73.0,23.0,4065.41
2020,4,17,US,Manhattan,pm25,47,4.0,41.0,16.0,1025.14
2020,5,19,US,Manhattan,pm25,43,2.0,38.0,18.0,525.41
2020,1,12,US,Manhattan,pm25,65,5.0,71.0,33.0,2043.43
2020,4,21,US,Manhattan,pm25,22,2.0,53.0,22.0,1636.82
2020,4,28,US,Manhattan,pm25,42,1.0,53.0,11.0,2381.98
2020,6,21,US,Manhattan,pm25,68,1.0,67.0,27.0,3669.48
2020,7,15,US,Manhattan,pm25,70,3.0,52.0,18.0,1471.64
2020,2,17,US,Manhattan,pm25,70,11.0,79.0,46.0,2221.95
2020,3,3,US,Manhattan,pm25,55,10.0,93.0,50.0,3441.56
2020,1,2,US,Manhattan,pm25,71,25.0,99.0,45.0,1938.97
2020,1,10,US,Manhattan,pm25,71,21.0,79.0,44.0,1857.84
2020,1,11,US,Manhattan,pm25,71,13.0,86.0,46.0,1763.36
2020,1,25,US,Manhattan,pm25,68,1.0,76.0,30.0,3758.76
2020,2,3,US,Manhattan,pm25,83,14.0,62.0,43.0,1367.57
2020,1,14,US,Manhattan,pm25,72,6.0,78.0,51.0,2215.91
2020,1,22,US,Manhattan,pm25,70,5.0,82.0,44.0,3474.33
2020,1,26,US,Manhattan,pm25,72,1.0,62.0,22.0,947.2
2020,2,9,US,Manhattan,pm25,72,2.0,67.0,38.0,1368.71
2020,4,13,US,Manhattan,pm25,60,5.0,62.0,17.0,2347.15
2020,7,23,US,Manhattan,pm25,63,1.0,65.0,28.0,2668.2
2020,1,9,US,Manhattan,pm25,69,1.0,59.0,35.0,2076.24
2020,1,15,US,Manhattan,pm25,72,5.0,80.0,50.0,2115.62
2020,1,19,US,Manhattan,pm25,67,1.0,54.0,34.0,1527.04
2020,4,26,US,Manhattan,pm25,44,3.0,30.0,15.0,602.07
2020,6,6,US,Manhattan,pm25,46,1.0,45.0,21.0,1073.55
2020,1,18,US,Manhattan,pm25,71,1.0,61.0,25.0,1391.28
2020,3,29,US,Manhattan,pm25,60,2.0,33.0,12.0,525.64
2020,5,4,US,Manhattan,pm25,45,1.0,62.0,15.0,1633.0
2020,6,5,US,Manhattan,pm25,47,14.0,57.0,31.0,1225.5
2020,7,31,US,Manhattan,pm25,70,3.0,67.0,21.0,3143.73
2020,1,4,US,Manhattan,pm25,68,18.0,90.0,56.0,1975.9
2020,2,4,US,Manhattan,pm25,96,34.0,118.0,55.0,2305.88
2020,4,19,US,Manhattan,pm25,48,17.0,48.0,28.0,380.28
2020,5,21,US,Manhattan,pm25,44,1.0,54.0,24.0,1673.93
2020,8,5,US,Manhattan,pm25,47,5.0,55.0,23.0,1413.88
2020,4,6,US,Manhattan,pm25,63,1.0,65.0,15.0,3489.59
2020,4,11,US,Manhattan,pm25,72,1.0,53.0,15.0,1307.39
2020,4,22,US,Manhattan,pm25,23,2.0,44.0,9.0,1602.37
2020,3,7,US,Manhattan,pm25,64,3.0,65.0,21.0,1077.38
2020,7,6,US,Manhattan,pm25,69,3.0,81.0,50.0,3942.83
2020,1,13,US,Manhattan,pm25,70,5.0,68.0,40.0,2521.9
2020,1,17,US,Manhattan,pm25,59,5.0,45.0,28.0,1278.17
2020,2,10,US,Manhattan,pm25,50,20.0,65.0,42.0,1609.83
2020,3,25,US,Manhattan,pm25,71,1.0,59.0,22.0,1041.07
2020,5,6,US,Manhattan,pm25,44,2.0,56.0,17.0,1358.96
2020,6,14,US,Manhattan,pm25,24,1.0,19.0,11.0,327.54
2020,3,30,US,Manhattan,pm25,68,1.0,53.0,23.0,2474.46
2020,2,5,US,Manhattan,pm25,71,5.0,61.0,21.0,1600.7
2020,3,5,US,Manhattan,pm25,65,2.0,65.0,23.0,1648.46
2020,3,20,US,Manhattan,pm25,69,5.0,110.0,38.0,7159.86
2020,6,4,US,Manhattan,pm25,48,4.0,55.0,28.0,2228.92
2020,6,29,US,Manhattan,pm25,68,1.0,78.0,25.0,2806.13
2020,4,25,US,Manhattan,pm25,47,5.0,52.0,30.0,1498.01
2020,6,3,US,Manhattan,pm25,48,8.0,56.0,31.0,1858.93
2020,2,14,US,Manhattan,pm25,57,9.0,47.0,28.0,743.69
2020,2,23,US,Manhattan,pm25,46,16.0,92.0,39.0,3028.66
2020,2,27,US,Manhattan,pm25,34,4.0,33.0,14.0,560.44
2020,5,20,US,Manhattan,pm25,41,2.0,30.0,11.0,421.9
2020,5,28,US,Manhattan,pm25,46,2.0,30.0,15.0,445.63
2020,6,15,US,Manhattan,pm25,39,3.0,26.0,13.0,382.91
2020,7,11,US,Manhattan,pm25,55,1.0,163.0,30.0,6193.74
2020,7,29,US,Manhattan,pm25,67,1.0,61.0,33.0,2215.42
2020,1,20,US,Manhattan,pm25,66,5.0,61.0,29.0,1016.1
2020,3,15,US,Manhattan,pm25,65,5.0,63.0,20.0,1027.85
2020,4,24,US,Manhattan,pm25,45,1.0,43.0,21.0,667.1
2020,2,19,US,Manhattan,pm25,65,8.0,88.0,25.0,3395.4
2020,3,2,US,Manhattan,pm25,48,20.0,69.0,40.0,1128.83
2020,4,2,US,Manhattan,pm25,68,1.0,31.0,13.0,556.97
2020,4,14,US,Manhattan,pm25,45,1.0,41.0,13.0,1253.77
2020,4,23,US,Manhattan,pm25,24,10.0,39.0,26.0,490.27
2020,7,3,US,Manhattan,pm25,72,3.0,82.0,45.0,2744.59
2020,2,12,US,Manhattan,pm25,69,9.0,62.0,35.0,1039.58
2020,7,9,US,Manhattan,pm25,72,7.0,71.0,30.0,2820.0
2020,1,6,US,Manhattan,pm25,72,9.0,67.0,38.0,1304.63
2020,4,3,US,Manhattan,pm25,70,1.0,23.0,11.0,231.45
2020,4,9,US,Manhattan,pm25,67,3.0,45.0,17.0,1061.04
2020,8,3,US,Manhattan,pm25,70,1.0,61.0,17.0,3259.46
2020,2,26,US,Manhattan,pm25,47,3.0,80.0,37.0,3644.83
2020,4,8,US,Manhattan,pm25,72,7.0,65.0,33.0,1995.21
2020,2,28,US,Manhattan,pm25,47,5.0,79.0,22.0,1762.48
2020,3,27,US,Manhattan,pm25,69,3.0,55.0,30.0,1619.24
2020,4,5,US,Manhattan,pm25,72,5.0,65.0,43.0,1767.25
2020,7,14,US,Manhattan,pm25,65,1.0,50.0,16.0,1133.72
2020,3,4,US,Manhattan,pm25,68,1.0,79.0,19.0,1798.02
2020,4,15,US,Manhattan,pm25,47,1.0,39.0,14.0,1033.65
2020,5,13,US,Manhattan,pm25,40,1.0,42.0,11.0,996.15
2020,5,23,US,Manhattan,pm25,39,2.0,31.0,14.0,638.95
2019,12,31,US,Manhattan,pm25,71,5.0,73.0,25.0,2032.62
2020,2,16,US,Manhattan,pm25,71,10.0,73.0,36.0,1739.31
2020,2,21,US,Manhattan,pm25,63,1.0,61.0,21.0,1161.11
2020,5,16,US,Manhattan,pm25,33,1.0,66.0,15.0,2244.03
2020,7,19,US,Manhattan,pm25,72,20.0,78.0,55.0,2133.71
2020,3,23,US,Manhattan,pm25,61,1.0,37.0,17.0,718.33
2020,4,1,US,Manhattan,pm25,72,5.0,32.0,19.0,456.62
2020,5,15,US,Manhattan,pm25,48,4.0,78.0,41.0,2454.04
2020,4,18,US,Manhattan,pm25,44,1.0,41.0,16.0,927.8
2020,5,10,US,Manhattan,pm25,45,1.0,39.0,13.0,858.56
2020,7,5,US,Manhattan,pm25,71,2.0,158.0,63.0,13349.1
2020,2,22,US,Manhattan,pm25,55,3.0,98.0,33.0,2643.0
2020,7,10,US,Manhattan,pm25,42,1.0,163.0,17.0,6857.1
2020,7,30,US,Manhattan,pm25,68,10.0,67.0,33.0,2074.16
2020,5,2,US,Manhattan,pm25,43,2.0,42.0,10.0,1377.96
2020,8,2,US,Manhattan,pm25,72,5.0,86.0,38.0,4191.55
2020,4,30,US,Manhattan,pm25,44,2.0,34.0,23.0,893.53
2020,5,3,US,Manhattan,pm25,44,8.0,68.0,30.0,2404.46
2020,6,11,US,Manhattan,pm25,48,3.0,47.0,26.0,1272.97
2020,1,8,US,Manhattan,pm25,69,5.0,67.0,43.0,1780.17
2020,2,13,US,Manhattan,pm25,68,3.0,94.0,31.0,3660.55
2020,1,3,US,Manhattan,pm25,72,45.0,90.0,60.0,858.73
2020,3,14,US,Manhattan,pm25,67,5.0,65.0,20.0,1005.44
2020,7,1,US,Manhattan,pm25,58,1.0,68.0,23.0,3729.9
2020,3,1,US,Manhattan,pm25,63,1.0,82.0,24.0,2394.98
2020,3,8,US,Manhattan,pm25,49,5.0,63.0,21.0,1839.09
2020,3,21,US,Manhattan,pm25,63,3.0,68.0,16.0,961.45
2020,5,31,US,Manhattan,pm25,23,3.0,24.0,8.0,423.56
2020,6,1,US,Manhattan,pm25,32,1.0,22.0,8.0,410.32
2020,3,24,US,Manhattan,pm25,66,2.0,65.0,15.0,1839.54
2020,5,1,US,Manhattan,pm25,33,1.0,18.0,12.0,257.18
2020,7,24,US,Manhattan,pm25,67,1.0,56.0,21.0,2312.07
2020,5,14,US,Manhattan,pm25,46,1.0,46.0,23.0,1003.05
2020,6,2,US,Manhattan,pm25,48,1.0,31.0,11.0,917.43
2020,6,16,US,Manhattan,pm25,40,3.0,30.0,10.0,483.79
2020,6,30,US,Manhattan,pm25,49,1.0,55.0,12.0,2437.36
2020,4,12,US,Manhattan,pm25,72,16.0,58.0,39.0,1195.33
2020,1,16,US,Manhattan,pm25,59,9.0,89.0,37.0,5366.99
2020,2,8,US,Manhattan,pm25,93,1.0,59.0,33.0,1391.0
2020,5,24,US,Manhattan,pm25,46,5.0,38.0,24.0,561.62
2020,7,12,US,Manhattan,pm25,64,1.0,53.0,21.0,1827.9
2020,1,7,US,Manhattan,pm25,72,13.0,71.0,40.0,1515.48
2020,2,24,US,Manhattan,pm25,58,8.0,122.0,56.0,4577.52
2020,3,13,US,Manhattan,pm25,59,3.0,76.0,24.0,2902.33
2020,5,29,US,Manhattan,pm25,44,1.0,37.0,13.0,1080.65
2020,6,20,US,Manhattan,pm25,72,9.0,64.0,33.0,2360.16
2020,4,16,US,Manhattan,pm25,45,1.0,45.0,20.0,1733.82
2020,7,21,US,Manhattan,pm25,72,3.0,59.0,33.0,1791.11
2020,7,28,US,Manhattan,pm25,70,2.0,69.0,32.0,4147.06
2020,4,27,US,Manhattan,pm25,37,2.0,26.0,5.0,232.99
2020,5,7,US,Manhattan,pm25,39,3.0,42.0,13.0,1463.24
2020,5,26,US,Manhattan,pm25,37,5.0,61.0,28.0,2660.53
2020,3,28,US,Manhattan,pm25,72,9.0,41.0,26.0,694.32
2020,5,27,US,Manhattan,pm25,38,2.0,34.0,11.0,783.71
2020,7,8,US,Manhattan,pm25,68,9.0,77.0,33.0,2340.15
2020,1,27,US,Manhattan,pm25,70,5.0,50.0,29.0,738.76
2020,2,15,US,Manhattan,pm25,70,3.0,61.0,25.0,1206.95
2020,3,11,US,Manhattan,pm25,44,1.0,56.0,21.0,1426.05
2020,7,26,US,Manhattan,pm25,45,9.0,47.0,22.0,829.47
2020,8,7,US,Manhattan,pm25,28,6.0,54.0,38.0,2223.0
2020,2,6,US,Manhattan,pm25,78,1.0,57.0,23.0,1339.57
2020,6,25,US,Manhattan,pm25,65,4.0,59.0,31.0,1492.25
2020,7,27,US,Manhattan,pm25,55,15.0,59.0,38.0,1314.15
2020,3,9,US,Manhattan,pm25,66,1.0,101.0,40.0,3744.36
2020,3,16,US,Manhattan,pm25,69,1.0,68.0,21.0,1339.85
2020,5,12,US,Manhattan,pm25,34,1.0,41.0,7.0,1116.4
2020,6,8,US,Manhattan,pm25,35,1.0,45.0,8.0,1259.61
2020,6,9,US,Manhattan,pm25,39,3.0,59.0,30.0,2305.11
2020,3,10,US,Manhattan,pm25,58,13.0,76.0,41.0,1534.46
2020,3,12,US,Manhattan,pm25,66,15.0,65.0,38.0,1274.14
2020,5,5,US,Manhattan,pm25,37,2.0,53.0,9.0,1229.92
2020,6,13,US,Manhattan,pm25,9,1.0,15.0,4.0,390.28
2020,7,7,US,Manhattan,pm25,71,8.0,67.0,25.0,2300.34
2020,1,30,US,Manhattan,pm25,55,2.0,59.0,29.0,1631.33
2020,4,10,US,Manhattan,pm25,66,1.0,31.0,11.0,595.86
2020,4,20,US,Manhattan,pm25,30,6.0,39.0,26.0,1135.28
2020,5,30,US,Manhattan,pm25,33,1.0,45.0,13.0,1604.85
2020,3,18,US,Manhattan,pm25,64,3.0,94.0,28.0,2857.93
2020,6,10,US,Manhattan,pm25,45,1.0,59.0,28.0,2453.13
2020,6,24,US,Manhattan,pm25,56,1.0,80.0,29.0,5706.7
2019,12,30,US,Manhattan,pm25,59,3.0,70.0,16.0,1289.13
2020,2,20,US,Manhattan,pm25,70,1.0,62.0,20.0,1127.51
2020,6,12,US,Manhattan,pm25,26,1.0,25.0,8.0,479.82
2020,6,17,US,Manhattan,pm25,47,2.0,52.0,13.0,1472.12
2020,6,27,US,Manhattan,pm25,71,13.0,119.0,54.0,3630.7
2020,6,19,US,Manhattan,pm25,61,1.0,60.0,17.0,2581.83
2020,1,23,US,Manhattan,pm25,72,31.0,168.0,61.0,5659.06
2020,4,29,US,Manhattan,pm25,48,8.0,45.0,23.0,943.39
2020,6,26,US,Manhattan,pm25,67,1.0,75.0,37.0,4153.93
2020,7,16,US,Manhattan,pm25,53,3.0,58.0,13.0,936.7
2020,2,1,US,Manhattan,pm25,48,33.0,58.0,50.0,436.77
