Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2019,1,7,IN,New Delhi,pm25,24,171.0,340.0,223.0,17369.1
2019,1,17,IN,New Delhi,pm25,24,235.0,580.0,378.0,74094.8
2019,1,21,IN,New Delhi,pm25,24,97.0,271.0,233.0,28713.6
2019,1,29,IN,New Delhi,pm25,24,134.0,288.0,182.0,18300.8
2019,2,5,IN,New Delhi,pm25,24,154.0,362.0,238.0,30564.3
2019,2,9,IN,New Delhi,pm25,19,34.0,224.0,168.0,15749.5
2018,12,31,IN,New Delhi,pm25,24,155.0,531.0,428.0,170784.0
2019,1,4,IN,New Delhi,pm25,24,192.0,402.0,274.0,48212.2
2019,1,20,IN,New Delhi,pm25,24,114.0,403.0,337.0,100230.0
2019,2,3,IN,New Delhi,pm25,24,173.0,324.0,190.0,12480.9
2019,3,25,IN,New Delhi,pm25,24,83.0,185.0,151.0,10718.5
2019,1,13,IN,New Delhi,pm25,24,199.0,419.0,288.0,31219.5
2019,1,18,IN,New Delhi,pm25,24,166.0,376.0,314.0,59811.2
2019,1,24,IN,New Delhi,pm25,24,124.0,359.0,175.0,40802.0
2019,3,27,IN,New Delhi,pm25,24,70.0,194.0,154.0,14911.9
2019,3,29,IN,New Delhi,pm25,24,129.0,203.0,161.0,4148.04
2019,1,27,IN,New Delhi,pm25,24,97.0,354.0,197.0,35502.5
2019,3,22,IN,New Delhi,pm25,24,53.0,158.0,97.0,9424.06
2019,1,3,IN,New Delhi,pm25,24,204.0,509.0,377.0,101566.0
2019,1,26,IN,New Delhi,pm25,24,91.0,213.0,180.0,13552.8
2019,2,7,IN,New Delhi,pm25,5,122.0,151.0,137.0,1403.0
2019,3,21,IN,New Delhi,pm25,24,83.0,313.0,174.0,50316.4
2019,1,1,IN,New Delhi,pm25,24,158.0,529.0,314.0,154982.0
2019,1,31,IN,New Delhi,pm25,19,159.0,402.0,282.0,57430.1
2019,2,2,IN,New Delhi,pm25,24,195.0,339.0,244.0,14514.8
2019,3,26,IN,New Delhi,pm25,24,74.0,201.0,155.0,16881.3
2019,3,31,IN,New Delhi,pm25,23,55.0,172.0,152.0,19915.9
2019,3,20,IN,New Delhi,pm25,24,80.0,184.0,160.0,9880.58
2019,1,15,IN,New Delhi,pm25,24,144.0,242.0,178.0,4979.98
2019,1,19,IN,New Delhi,pm25,24,149.0,410.0,285.0,77862.0
2019,1,22,IN,New Delhi,pm25,19,42.0,158.0,124.0,15448.4
2019,1,23,IN,New Delhi,pm25,21,154.0,288.0,191.0,16487.0
2019,1,25,IN,New Delhi,pm25,24,87.0,189.0,160.0,7429.49
2019,3,23,IN,New Delhi,pm25,24,68.0,163.0,132.0,12439.1
2019,3,19,IN,New Delhi,pm25,16,78.0,315.0,153.0,42646.0
2019,1,11,IN,New Delhi,pm25,24,171.0,431.0,294.0,78942.2
2019,2,4,IN,New Delhi,pm25,24,134.0,238.0,177.0,6688.41
2019,2,8,IN,New Delhi,pm25,5,63.0,163.0,151.0,20232.0
2019,1,5,IN,New Delhi,pm25,24,170.0,426.0,268.0,86599.1
2019,1,12,IN,New Delhi,pm25,24,177.0,432.0,276.0,53676.5
2019,1,2,IN,New Delhi,pm25,24,192.0,434.0,342.0,67572.4
2019,1,14,IN,New Delhi,pm25,24,107.0,221.0,161.0,8486.01
2019,2,6,IN,New Delhi,pm25,18,156.0,318.0,266.0,27813.2
2019,1,8,IN,New Delhi,pm25,24,158.0,349.0,233.0,29931.6
2019,1,30,IN,New Delhi,pm25,24,177.0,399.0,247.0,37819.9
2019,2,1,IN,New Delhi,pm25,22,171.0,293.0,217.0,13696.8
2019,3,24,IN,New Delhi,pm25,24,80.0,197.0,134.0,11695.7
2019,1,6,IN,New Delhi,pm25,24,167.0,323.0,201.0,27562.5
2019,1,9,IN,New Delhi,pm25,24,127.0,315.0,199.0,26514.2
2019,1,16,IN,New Delhi,pm25,24,196.0,372.0,272.0,23836.2
2019,1,28,IN,New Delhi,pm25,24,114.0,221.0,184.0,9160.42
2019,3,28,IN,New Delhi,pm25,24,89.0,278.0,155.0,25751.9
2019,3,30,IN,New Delhi,pm25,24,99.0,206.0,160.0,5809.55
2019,1,10,IN,New Delhi,pm25,23,129.0,268.0,224.0,15341.7
2019,4,27,IN,New Delhi,pm25,24,132.0,205.0,155.0,2498.1
2019,5,8,IN,New Delhi,pm25,23,147.0,359.0,199.0,40015.3
2019,5,12,IN,New Delhi,pm25,24,188.0,482.0,244.0,83443.9
2019,5,13,IN,New Delhi,pm25,24,137.0,418.0,265.0,104683.0
2019,5,16,IN,New Delhi,pm25,24,87.0,199.0,127.0,13071.3
2019,5,17,IN,New Delhi,pm25,24,65.0,197.0,158.0,11584.1
2019,6,19,IN,New Delhi,pm25,22,89.0,265.0,162.0,18066.6
2019,4,11,IN,New Delhi,pm25,24,122.0,158.0,153.0,1153.32
2019,6,26,IN,New Delhi,pm25,24,129.0,180.0,153.0,1578.97
2019,6,28,IN,New Delhi,pm25,24,70.0,181.0,142.0,10231.0
2019,6,25,IN,New Delhi,pm25,24,87.0,164.0,124.0,10653.5
2019,6,1,IN,New Delhi,pm25,24,154.0,183.0,163.0,594.71
2019,6,17,IN,New Delhi,pm25,22,70.0,156.0,99.0,5598.61
2019,5,2,IN,New Delhi,pm25,24,102.0,190.0,164.0,3705.92
2019,6,7,IN,New Delhi,pm25,24,80.0,165.0,134.0,6677.97
2019,6,13,IN,New Delhi,pm25,24,87.0,157.0,122.0,4988.1
2019,6,21,IN,New Delhi,pm25,24,112.0,165.0,157.0,2486.88
2019,5,6,IN,New Delhi,pm25,24,147.0,240.0,176.0,7359.98
2019,5,1,IN,New Delhi,pm25,24,154.0,195.0,176.0,1606.67
2019,5,27,IN,New Delhi,pm25,24,59.0,192.0,134.0,16009.3
2019,6,11,IN,New Delhi,pm25,24,97.0,264.0,160.0,23038.0
2019,6,20,IN,New Delhi,pm25,24,65.0,164.0,97.0,10033.8
2019,6,30,IN,New Delhi,pm25,24,99.0,179.0,157.0,2879.98
2019,4,29,IN,New Delhi,pm25,24,109.0,348.0,163.0,26002.2
2019,4,16,IN,New Delhi,pm25,24,61.0,513.0,109.0,76710.0
2019,4,25,IN,New Delhi,pm25,24,151.0,192.0,165.0,1104.33
2019,5,19,IN,New Delhi,pm25,24,93.0,230.0,155.0,13620.0
2019,5,26,IN,New Delhi,pm25,24,57.0,190.0,127.0,15600.9
2019,6,22,IN,New Delhi,pm25,24,93.0,175.0,152.0,3815.65
2019,4,10,IN,New Delhi,pm25,24,89.0,279.0,154.0,25117.3
2019,5,31,IN,New Delhi,pm25,24,104.0,171.0,157.0,2315.65
2019,4,26,IN,New Delhi,pm25,24,129.0,193.0,158.0,3633.62
2019,4,8,IN,New Delhi,pm25,24,82.0,189.0,159.0,9401.58
2019,4,18,IN,New Delhi,pm25,24,61.0,156.0,87.0,9501.72
2019,4,19,IN,New Delhi,pm25,24,91.0,275.0,147.0,23564.3
2019,5,9,IN,New Delhi,pm25,24,154.0,342.0,200.0,30304.3
2019,5,11,IN,New Delhi,pm25,24,153.0,290.0,168.0,14547.0
2019,5,18,IN,New Delhi,pm25,24,74.0,169.0,112.0,7299.35
2019,5,20,IN,New Delhi,pm25,24,91.0,317.0,160.0,34820.0
2019,4,4,IN,New Delhi,pm25,24,89.0,221.0,169.0,14391.0
2019,5,30,IN,New Delhi,pm25,22,76.0,271.0,155.0,22199.9
2019,6,23,IN,New Delhi,pm25,24,85.0,155.0,99.0,3376.94
2019,5,25,IN,New Delhi,pm25,24,53.0,171.0,102.0,13857.2
2019,4,5,IN,New Delhi,pm25,24,102.0,201.0,171.0,6072.1
2019,4,15,IN,New Delhi,pm25,24,87.0,171.0,122.0,6451.23
2019,4,28,IN,New Delhi,pm25,24,147.0,218.0,172.0,2889.11
2019,5,10,IN,New Delhi,pm25,24,127.0,427.0,172.0,59669.8
2019,4,3,IN,New Delhi,pm25,24,74.0,248.0,158.0,18242.2
2019,4,22,IN,New Delhi,pm25,24,93.0,308.0,161.0,29652.8
