Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2019,1,23,US,Manhattan,pm25,96,17.0,77.0,37.0,1725.1
2019,1,29,US,Manhattan,pm25,92,22.0,82.0,47.0,1372.07
2019,2,22,US,Manhattan,pm25,87,1.0,67.0,44.0,2471.29
2019,2,25,US,Manhattan,pm25,94,1.0,52.0,30.0,1966.75
2019,1,2,US,Manhattan,pm25,96,13.0,161.0,42.0,5235.72
2019,1,7,US,Manhattan,pm25,91,4.0,80.0,28.0,1471.86
2019,1,9,US,Manhattan,pm25,90,4.0,92.0,27.0,1905.49
2019,1,20,US,Manhattan,pm25,81,2.0,64.0,29.0,2392.44
2019,1,11,US,Manhattan,pm25,72,15.0,52.0,35.0,431.42
2019,1,17,US,Manhattan,pm25,92,5.0,68.0,33.0,1203.09
2019,2,8,US,Manhattan,pm25,89,1.0,69.0,27.0,3005.76
2019,3,12,US,Manhattan,pm25,89,1.0,333.0,30.0,19763.3
2019,3,19,US,Manhattan,pm25,94,1.0,310.0,29.0,18158.9
2019,1,15,US,Manhattan,pm25,96,13.0,75.0,54.0,1344.73
2019,2,19,US,Manhattan,pm25,94,1.0,390.0,23.0,24682.3
2019,2,27,US,Manhattan,pm25,96,1.0,375.0,18.0,52098.2
2019,3,13,US,Manhattan,pm25,95,1.0,372.0,41.0,26493.9
2019,3,28,US,Manhattan,pm25,96,1.0,446.0,23.0,49776.8
2019,3,30,US,Manhattan,pm25,96,1.0,93.0,51.0,4080.16
2019,1,28,US,Manhattan,pm25,96,9.0,81.0,40.0,1830.6
2019,2,16,US,Manhattan,pm25,95,1.0,347.0,28.0,22318.7
2019,2,28,US,Manhattan,pm25,95,1.0,359.0,30.0,24081.5
2019,3,8,US,Manhattan,pm25,96,1.0,82.0,40.0,2981.89
2019,2,15,US,Manhattan,pm25,91,1.0,141.0,52.0,6758.81
2019,1,1,US,Manhattan,pm25,89,5.0,73.0,40.0,1536.36
2019,1,10,US,Manhattan,pm25,78,4.0,53.0,27.0,996.62
2019,1,19,US,Manhattan,pm25,96,9.0,75.0,42.0,1315.66
2019,2,6,US,Manhattan,pm25,93,1.0,430.0,21.0,35561.2
2019,3,11,US,Manhattan,pm25,94,1.0,282.0,30.0,9947.61
2019,3,17,US,Manhattan,pm25,88,1.0,311.0,10.0,59748.1
2019,1,8,US,Manhattan,pm25,96,7.0,124.0,39.0,6199.89
2019,1,12,US,Manhattan,pm25,72,18.0,49.0,32.0,531.64
2019,2,24,US,Manhattan,pm25,82,1.0,397.0,25.0,44506.4
2019,3,9,US,Manhattan,pm25,94,1.0,129.0,56.0,3996.56
2019,3,10,US,Manhattan,pm25,90,1.0,99.0,33.0,5488.94
2019,3,15,US,Manhattan,pm25,94,1.0,384.0,52.0,17634.7
2019,3,16,US,Manhattan,pm25,87,1.0,56.0,14.0,1420.16
2019,3,21,US,Manhattan,pm25,94,1.0,425.0,29.0,37168.7
2019,1,4,US,Manhattan,pm25,95,25.0,82.0,52.0,1218.18
2019,2,4,US,Manhattan,pm25,96,5.0,154.0,62.0,3485.76
2019,2,18,US,Manhattan,pm25,92,1.0,539.0,31.0,62965.3
2019,3,6,US,Manhattan,pm25,96,1.0,57.0,31.0,1873.37
2019,3,24,US,Manhattan,pm25,95,1.0,80.0,16.0,2413.61
2019,1,14,US,Manhattan,pm25,84,5.0,61.0,38.0,1306.07
2019,1,31,US,Manhattan,pm25,96,5.0,57.0,34.0,964.68
2019,2,10,US,Manhattan,pm25,96,1.0,344.0,21.0,25727.0
2019,3,5,US,Manhattan,pm25,95,1.0,355.0,29.0,23544.1
2019,3,27,US,Manhattan,pm25,83,1.0,81.0,20.0,2815.43
2018,12,31,US,Manhattan,pm25,96,2.0,95.0,50.0,4905.49
2019,1,16,US,Manhattan,pm25,96,5.0,97.0,52.0,3439.86
2019,1,25,US,Manhattan,pm25,96,1.0,55.0,36.0,1151.08
2019,2,7,US,Manhattan,pm25,96,1.0,473.0,24.0,24811.5
2019,3,14,US,Manhattan,pm25,93,1.0,350.0,31.0,50692.1
2019,3,20,US,Manhattan,pm25,94,1.0,310.0,38.0,19306.1
2019,3,26,US,Manhattan,pm25,89,1.0,299.0,19.0,24448.2
2019,1,13,US,Manhattan,pm25,72,15.0,63.0,33.0,1179.8
2019,2,14,US,Manhattan,pm25,87,1.0,271.0,33.0,9106.35
2019,2,26,US,Manhattan,pm25,93,1.0,335.0,24.0,17947.4
2019,3,4,US,Manhattan,pm25,92,1.0,476.0,30.0,24236.9
2019,2,17,US,Manhattan,pm25,95,1.0,328.0,23.0,20385.5
2019,3,2,US,Manhattan,pm25,95,1.0,401.0,35.0,16780.1
2019,3,25,US,Manhattan,pm25,95,1.0,327.0,30.0,25799.8
2019,1,27,US,Manhattan,pm25,95,16.0,79.0,40.0,1387.42
2019,2,5,US,Manhattan,pm25,95,1.0,422.0,59.0,18498.2
2019,2,9,US,Manhattan,pm25,93,1.0,261.0,21.0,13586.4
2019,2,12,US,Manhattan,pm25,92,1.0,323.0,18.0,22285.2
2019,1,24,US,Manhattan,pm25,88,4.0,68.0,29.0,2236.36
2019,2,13,US,Manhattan,pm25,91,1.0,434.0,26.0,52221.8
2019,2,23,US,Manhattan,pm25,89,1.0,411.0,35.0,42969.8
2019,3,31,US,Manhattan,pm25,85,1.0,133.0,29.0,9658.8
2019,2,2,US,Manhattan,pm25,96,17.0,102.0,56.0,3403.43
2019,2,20,US,Manhattan,pm25,93,1.0,79.0,28.0,3384.57
2019,3,7,US,Manhattan,pm25,96,1.0,302.0,37.0,9779.68
2019,3,29,US,Manhattan,pm25,96,1.0,90.0,49.0,3384.61
2019,2,3,US,Manhattan,pm25,94,23.0,138.0,69.0,3893.68
2019,3,23,US,Manhattan,pm25,87,1.0,244.0,16.0,7203.05
2019,1,5,US,Manhattan,pm25,96,5.0,79.0,45.0,2124.26
2019,1,18,US,Manhattan,pm25,96,21.0,94.0,54.0,2814.31
2019,1,21,US,Manhattan,pm25,92,5.0,49.0,30.0,813.74
2019,1,30,US,Manhattan,pm25,95,1.0,76.0,38.0,2025.25
2019,2,11,US,Manhattan,pm25,96,1.0,465.0,38.0,21520.4
2019,1,3,US,Manhattan,pm25,91,5.0,108.0,38.0,2782.8
2019,1,6,US,Manhattan,pm25,87,1.0,69.0,47.0,2243.22
2019,1,22,US,Manhattan,pm25,94,10.0,64.0,35.0,1278.8
2019,1,26,US,Manhattan,pm25,95,5.0,67.0,37.0,1690.92
2019,3,18,US,Manhattan,pm25,94,1.0,452.0,21.0,38862.4
2019,3,22,US,Manhattan,pm25,81,1.0,406.0,15.0,40460.2
2019,2,1,US,Manhattan,pm25,96,2.0,79.0,38.0,1626.51
2019,2,21,US,Manhattan,pm25,92,1.0,592.0,29.0,65672.2
2019,3,1,US,Manhattan,pm25,96,1.0,403.0,35.0,28872.2
2019,3,3,US,Manhattan,pm25,96,1.0,77.0,41.0,3040.6
2019,5,29,US,Manhattan,pm25,93,1.0,378.0,18.0,36454.9
2019,6,23,US,Manhattan,pm25,87,1.0,281.0,13.0,10044.9
2019,5,3,US,Manhattan,pm25,92,1.0,99.0,39.0,6722.88
2019,4,17,US,Manhattan,pm25,87,1.0,337.0,17.0,21304.3
2019,6,18,US,Manhattan,pm25,85,3.0,97.0,43.0,5271.79
2019,4,9,US,Manhattan,pm25,90,1.0,451.0,29.0,41084.5
2019,4,21,US,Manhattan,pm25,61,1.0,309.0,30.0,14875.1
2019,5,7,US,Manhattan,pm25,94,1.0,391.0,26.0,25738.6
2019,5,8,US,Manhattan,pm25,87,1.0,275.0,20.0,12139.2
2019,5,16,US,Manhattan,pm25,93,1.0,402.0,21.0,27874.6
2019,6,26,US,Manhattan,pm25,95,3.0,84.0,37.0,3903.23
2019,4,3,US,Manhattan,pm25,90,1.0,147.0,22.0,7341.85
2019,4,8,US,Manhattan,pm25,51,1.0,407.0,33.0,32621.9
2019,4,16,US,Manhattan,pm25,85,1.0,61.0,13.0,1774.41
2019,4,29,US,Manhattan,pm25,78,1.0,233.0,20.0,7382.19
