Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2016,5,1,US,Portland,pm25,90,7.0,61.0,17.0,1272.36
2016,2,20,US,Portland,pm25,93,5.0,104.0,12.0,2163.0
2016,2,26,US,Portland,pm25,92,18.0,80.0,37.0,3077.82
2016,2,29,US,Portland,pm25,94,5.0,38.0,16.0,288.67
2016,3,11,US,Portland,pm25,71,7.0,40.0,17.0,573.13
2016,4,4,US,Portland,pm25,77,5.0,40.0,9.0,259.08
2016,4,11,US,Portland,pm25,88,9.0,34.0,17.0,209.01
2016,4,27,US,Portland,pm25,86,5.0,56.0,16.0,540.73
2016,5,6,US,Portland,pm25,106,5.0,42.0,15.0,288.42
2016,5,13,US,Portland,pm25,91,14.0,42.0,24.0,306.42
2016,6,7,US,Portland,pm25,94,10.0,46.0,20.0,574.91
2016,6,30,US,Portland,pm25,106,5.0,21.0,12.0,84.94
2016,6,22,US,Portland,pm25,113,8.0,42.0,16.0,433.97
2016,1,16,US,Portland,pm25,93,3.0,51.0,13.0,1106.8
2016,2,2,US,Portland,pm25,91,8.0,56.0,22.0,1390.97
2016,3,6,US,Portland,pm25,89,4.0,46.0,9.0,399.84
2016,5,4,US,Portland,pm25,94,9.0,30.0,18.0,219.21
2016,5,10,US,Portland,pm25,90,5.0,30.0,14.0,310.66
2016,5,30,US,Portland,pm25,68,8.0,20.0,14.0,74.91
2016,6,10,US,Portland,pm25,82,5.0,46.0,9.0,425.41
2016,1,30,US,Portland,pm25,89,3.0,64.0,9.0,1329.97
2016,2,7,US,Portland,pm25,92,8.0,117.0,26.0,4946.72
2016,2,14,US,Portland,pm25,71,3.0,24.0,7.0,99.98
2016,4,5,US,Portland,pm25,93,5.0,59.0,15.0,580.76
2016,4,7,US,Portland,pm25,92,9.0,57.0,20.0,1086.59
2016,3,7,US,Portland,pm25,86,3.0,34.0,8.0,552.35
2016,3,18,US,Portland,pm25,42,5.0,10.0,8.0,14.12
2016,4,14,US,Portland,pm25,90,4.0,25.0,9.0,218.76
2016,4,17,US,Portland,pm25,74,9.0,93.0,16.0,4739.95
2016,5,22,US,Portland,pm25,94,5.0,46.0,13.0,741.81
