Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2020,2,20,IT,Rome,pm25,192,42.0,63.0,53.0,380.58
2020,5,14,IT,Rome,pm25,168,61.0,68.0,63.0,87.46
2020,6,12,IT,Rome,pm25,192,17.0,30.0,25.0,133.04
2020,1,1,IT,Rome,pm25,192,70.0,149.0,107.0,4833.77
2020,6,22,IT,Rome,pm25,168,9.0,30.0,25.0,484.11
2020,4,13,IT,Rome,pm25,192,57.0,72.0,59.0,278.95
2020,5,8,IT,Rome,pm25,192,30.0,42.0,38.0,198.53
2020,1,12,IT,Rome,pm25,192,63.0,127.0,95.0,3003.14
2020,1,13,IT,Rome,pm25,192,74.0,134.0,95.0,3850.05
2020,1,21,IT,Rome,pm25,192,59.0,80.0,65.0,376.34
2020,3,30,IT,Rome,pm25,192,21.0,72.0,63.0,2396.07
2020,5,12,IT,Rome,pm25,192,21.0,34.0,25.0,198.38
2020,5,30,IT,Rome,pm25,192,21.0,42.0,25.0,387.02
2020,7,2,IT,Rome,pm25,168,38.0,50.0,46.0,262.79
2020,1,11,IT,Rome,pm25,168,82.0,129.0,117.0,2179.91
2020,7,14,IT,Rome,pm25,192,30.0,76.0,46.0,1952.51
2020,6,5,IT,Rome,pm25,192,21.0,46.0,25.0,574.08
2020,6,25,IT,Rome,pm25,192,34.0,57.0,42.0,364.24
2020,3,16,IT,Rome,pm25,168,30.0,72.0,57.0,1379.23
2020,4,11,IT,Rome,pm25,192,63.0,78.0,70.0,374.29
2020,7,28,IT,Rome,pm25,192,38.0,53.0,42.0,293.87
2020,3,9,IT,Rome,pm25,192,25.0,55.0,38.0,954.97
2020,4,7,IT,Rome,pm25,168,63.0,82.0,72.0,271.41
2020,4,20,IT,Rome,pm25,144,21.0,46.0,38.0,623.5
2020,6,30,IT,Rome,pm25,192,30.0,53.0,38.0,435.86
2020,7,1,IT,Rome,pm25,192,30.0,50.0,42.0,339.27
2020,7,10,IT,Rome,pm25,144,42.0,57.0,50.0,258.46
2020,3,28,IT,Rome,pm25,192,17.0,68.0,46.0,2020.37
2020,4,9,IT,Rome,pm25,192,68.0,87.0,74.0,398.17
2020,5,15,IT,Rome,pm25,144,30.0,42.0,34.0,147.69
2020,6,24,IT,Rome,pm25,168,34.0,46.0,38.0,124.82
2020,3,4,IT,Rome,pm25,192,25.0,46.0,34.0,342.88
2020,8,4,IT,Rome,pm25,192,13.0,42.0,21.0,1042.3
2020,4,18,IT,Rome,pm25,144,25.0,38.0,30.0,222.94
2020,6,27,IT,Rome,pm25,192,34.0,55.0,42.0,482.51
2020,7,5,IT,Rome,pm25,192,13.0,38.0,25.0,517.7
