Year,Month,Date,Country,City,Specie,count,min,max,median,variance
2015,1,22,CN,Wuhan,pm25,216,144.0,231.0,179.0,1804.48
2015,2,20,CN,Wuhan,pm25,216,61.0,163.0,119.0,5996.25
2015,3,15,CN,Wuhan,pm25,215,160.0,226.0,182.0,1556.07
2015,5,3,CN,Wuhan,pm25,215,78.0,176.0,139.0,4490.84
2015,5,23,CN,Wuhan,pm25,207,151.0,198.0,163.0,398.22
2015,5,30,CN,Wuhan,pm25,404,61.0,188.0,152.0,9281.91
2015,1,6,CN,Wuhan,pm25,216,196.0,462.0,268.0,71538.4
2015,1,21,CN,Wuhan,pm25,216,85.0,294.0,192.0,15276.0
2015,1,29,CN,Wuhan,pm25,212,87.0,178.0,155.0,6007.39
2015,2,10,CN,Wuhan,pm25,207,139.0,218.0,162.0,2017.32
2015,4,15,CN,Wuhan,pm25,214,119.0,194.0,160.0,914.92
2015,4,22,CN,Wuhan,pm25,208,93.0,197.0,149.0,2867.33
2015,4,28,CN,Wuhan,pm25,216,82.0,174.0,142.0,6377.31
2015,5,21,CN,Wuhan,pm25,215,57.0,155.0,104.0,4640.0
2015,1,2,CN,Wuhan,pm25,215,142.0,218.0,166.0,1364.0
2015,5,24,CN,Wuhan,pm25,216,151.0,273.0,184.0,6128.66
2015,4,5,CN,Wuhan,pm25,216,42.0,177.0,151.0,11407.3
2014,12,29,CN,Wuhan,pm25,215,114.0,367.0,171.0,8363.26
2015,3,20,CN,Wuhan,pm25,215,53.0,179.0,117.0,12374.5
2015,3,24,CN,Wuhan,pm25,207,87.0,299.0,147.0,6416.52
2015,4,23,CN,Wuhan,pm25,216,99.0,217.0,165.0,4668.18
2015,5,18,CN,Wuhan,pm25,207,99.0,195.0,164.0,1431.44
2015,5,20,CN,Wuhan,pm25,215,55.0,233.0,169.0,18355.2
2015,6,9,CN,Wuhan,pm25,401,65.0,181.0,144.0,6767.11
2015,1,15,CN,Wuhan,pm25,207,13.0,256.0,188.0,5221.73
2015,1,5,CN,Wuhan,pm25,214,176.0,313.0,212.0,9304.28
2015,3,22,CN,Wuhan,pm25,215,61.0,234.0,169.0,16427.4
2015,4,20,CN,Wuhan,pm25,214,38.0,169.0,80.0,6136.01
2015,6,5,CN,Wuhan,pm25,394,53.0,159.0,97.0,4561.69
2015,6,6,CN,Wuhan,pm25,393,50.0,621.0,117.0,12194.8
2015,1,4,CN,Wuhan,pm25,215,172.0,333.0,190.0,7385.13
2015,2,16,CN,Wuhan,pm25,216,78.0,258.0,186.0,7916.66
2015,4,4,CN,Wuhan,pm25,213,76.0,165.0,127.0,4436.94
2015,5,6,CN,Wuhan,pm25,216,147.0,206.0,170.0,1281.64
2015,5,28,CN,Wuhan,pm25,215,124.0,199.0,162.0,866.45
2014,12,30,CN,Wuhan,pm25,216,142.0,339.0,189.0,8345.59
2015,4,3,CN,Wuhan,pm25,214,72.0,169.0,119.0,6531.82
2015,5,7,CN,Wuhan,pm25,214,134.0,201.0,163.0,992.92
2015,5,31,CN,Wuhan,pm25,349,99.0,203.0,171.0,2726.49
2015,6,16,CN,Wuhan,pm25,206,57.0,182.0,142.0,10345.9
2015,7,1,CN,Wuhan,pm25,362,34.0,161.0,72.0,6522.77
2015,1,18,CN,Wuhan,pm25,216,156.0,376.0,184.0,3445.26
2015,2,24,CN,Wuhan,pm25,204,156.0,188.0,171.0,353.77
2015,4,25,CN,Wuhan,pm25,216,127.0,243.0,179.0,2938.22
2015,5,4,CN,Wuhan,pm25,203,93.0,178.0,142.0,3226.54
2015,2,12,CN,Wuhan,pm25,207,162.0,359.0,223.0,15260.5
2015,2,6,CN,Wuhan,pm25,215,157.0,486.0,190.0,8841.67
2015,3,4,CN,Wuhan,pm25,210,93.0,162.0,134.0,2088.79
2015,4,19,CN,Wuhan,pm25,216,25.0,177.0,114.0,17235.7
2015,6,8,CN,Wuhan,pm25,406,9.0,160.0,76.0,7306.15
2015,6,11,CN,Wuhan,pm25,404,9.0,162.0,132.0,9995.92
2015,1,17,CN,Wuhan,pm25,180,157.0,269.0,192.0,5695.55
2015,1,9,CN,Wuhan,pm25,216,198.0,313.0,249.0,6420.71
2015,1,12,CN,Wuhan,pm25,215,168.0,276.0,214.0,8270.15
2015,2,22,CN,Wuhan,pm25,215,163.0,261.0,187.0,5119.77
2015,3,11,CN,Wuhan,pm25,216,99.0,222.0,167.0,3111.77
2015,6,27,CN,Wuhan,pm25,366,13.0,174.0,80.0,6201.94
2015,6,30,CN,Wuhan,pm25,350,13.0,158.0,72.0,12314.3
2015,1,3,CN,Wuhan,pm25,215,21.0,357.0,180.0,10934.8
2015,1,25,CN,Wuhan,pm25,216,178.0,394.0,284.0,16516.4
2015,1,26,CN,Wuhan,pm25,216,216.0,445.0,313.0,12657.3
2015,3,8,CN,Wuhan,pm25,214,97.0,184.0,155.0,1798.41
2015,3,13,CN,Wuhan,pm25,216,107.0,245.0,168.0,2745.15
2015,4,2,CN,Wuhan,pm25,215,13.0,163.0,74.0,10727.7
2015,6,14,CN,Wuhan,pm25,335,50.0,173.0,119.0,9237.24
2015,1,14,CN,Wuhan,pm25,205,104.0,256.0,165.0,4532.24
2015,3,16,CN,Wuhan,pm25,216,85.0,221.0,173.0,10570.1
2015,4,8,CN,Wuhan,pm25,212,63.0,168.0,104.0,6312.0
2015,5,2,CN,Wuhan,pm25,212,9.0,167.0,72.0,18217.8
2015,2,3,CN,Wuhan,pm25,206,163.0,329.0,182.0,2979.94
2015,2,14,CN,Wuhan,pm25,213,159.0,256.0,193.0,1769.89
2015,3,18,CN,Wuhan,pm25,213,25.0,137.0,76.0,5676.06
2015,5,5,CN,Wuhan,pm25,212,104.0,834.0,158.0,24027.5
2015,5,9,CN,Wuhan,pm25,216,91.0,170.0,151.0,2972.51
2015,5,15,CN,Wuhan,pm25,214,46.0,174.0,119.0,13890.6
2015,5,17,CN,Wuhan,pm25,216,91.0,170.0,149.0,3977.14
2015,2,1,CN,Wuhan,pm25,214,161.0,243.0,190.0,2056.28
2015,4,7,CN,Wuhan,pm25,212,13.0,184.0,122.0,12061.5
2015,4,10,CN,Wuhan,pm25,212,117.0,834.0,157.0,22720.8
2015,4,18,CN,Wuhan,pm25,213,154.0,193.0,165.0,361.87
2015,5,22,CN,Wuhan,pm25,213,78.0,167.0,129.0,4885.62
2015,3,25,CN,Wuhan,pm25,212,78.0,188.0,144.0,6978.45
2015,2,25,CN,Wuhan,pm25,214,127.0,199.0,161.0,835.84
2015,3,19,CN,Wuhan,pm25,214,59.0,162.0,127.0,7718.64
2015,4,13,CN,Wuhan,pm25,213,42.0,159.0,82.0,4248.8
2015,5,11,CN,Wuhan,pm25,214,13.0,176.0,95.0,16943.7
2015,5,16,CN,Wuhan,pm25,215,122.0,177.0,154.0,1364.51
